"","id","v3_1","v3_2","v3_3","a1b1","a1c1","a1d1","a1e1","a2","a3","a4a","b3","b5a","b11a2","c5a1","d4a","d4b","d4c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","race","party","socialLevel","incomePer","incomeFam","occ","occR","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"31",35,22,17,99,2,1988,3,2,1,4,1,4,NA,30000,40000,3,3,2,3,3,3,2021,4,1,1,33,2,1,1,2,1,0,3,30000,40000,NA,NA,3,3,3,1,1,1
"32",36,22,17,99,1,1960,3,2,1,1,1,4,NA,-8,30000,4,4,4,4,3,4,2021,4,1,0,61,3,1,1,2,1,1,4,NA,30000,NA,NA,4,3,4,1,1,1
"33",37,22,7,106,1,1973,3,4,3,4,1,4,NA,12000,10000,4,4,3,4,3,3,2021,4,1,0,48,2,0,1,2,0,0,4,12000,10000,NA,NA,4,3,3,1,1,1
"34",38,22,7,106,1,1969,3,2,3,4,1,4,NA,-8,30000,4,4,4,4,4,4,2021,4,1,0,52,3,1,1,2,0,0,4,NA,30000,NA,NA,4,4,4,1,1,1
"35",39,22,17,99,2,1958,2,2,1,4,1,4,NA,-8,20000,5,5,4,4,4,4,2021,4,1,1,63,3,1,1,1,1,0,5,NA,20000,NA,NA,4,4,4,1,1,1
"36",40,22,17,99,2,1973,2,2,1,4,1,4,NA,-8,90000,3,3,4,4,4,4,2021,4,1,1,48,2,1,1,1,1,0,3,NA,90000,NA,NA,4,4,4,1,1,1
"37",41,22,17,99,1,1989,2,1,1,4,1,2,10,20000,95000,3,3,3,4,4,4,2021,4,1,0,32,2,0,1,1,1,0,3,20000,95000,10,0,4,4,4,1,1,1
"38",43,22,17,99,2,1970,2,2,1,4,1,4,NA,5000,22000,4,5,3,4,3,3,2021,4,1,1,51,3,1,1,1,1,0,4,5000,22000,NA,NA,4,3,3,1,1,1
"39",44,22,17,99,1,1964,1,2,1,4,1,4,NA,-8,10000,3,3,3,4,4,4,2021,4,1,0,57,3,1,1,0,1,0,3,NA,10000,NA,NA,4,4,4,1,1,1
"40",45,22,7,106,1,1972,2,2,1,4,1,4,NA,-8,38000,3,3,1,3,3,3,2021,4,1,0,49,2,1,1,1,1,0,3,NA,38000,NA,NA,3,3,3,1,1,1
"41",46,22,7,106,1,1967,4,5,1,4,1,4,NA,-8,40000,3,3,1,4,1,1,2021,4,1,0,54,3,0,1,3,1,0,3,NA,40000,NA,NA,4,1,1,1,0,0
"42",47,22,7,106,2,1979,3,2,1,4,1,4,NA,-8,1e+05,5,4,5,3,2,2,2021,4,1,1,42,2,1,1,2,1,0,5,NA,1e+05,NA,NA,3,2,2,1,0,0
"43",49,22,7,106,2,1965,2,5,1,4,1,4,NA,-8,15000,5,5,3,4,4,4,2021,4,1,1,56,3,0,1,1,1,0,5,NA,15000,NA,NA,4,4,4,1,1,1
"44",50,22,7,106,1,1966,2,2,1,4,1,4,NA,-8,70000,3,4,3,3,3,3,2021,4,1,0,55,3,1,1,1,1,0,3,NA,70000,NA,NA,3,3,3,1,1,1
"45",51,22,7,106,1,1986,3,2,3,4,1,4,NA,-8,30000,3,5,3,4,3,3,2021,4,1,0,35,2,1,1,2,0,0,3,NA,30000,NA,NA,4,3,3,1,1,1
"46",52,22,28,103,1,2003,3,1,1,4,2,NA,NA,50000,50000,2,1,3,3,4,3,2021,4,1,0,18,1,0,0,2,1,0,2,50000,50000,NA,NA,3,4,3,1,1,1
"47",53,22,28,103,2,1976,4,2,1,4,2,3,7,-8,29600,-1,-1,3,4,4,4,2021,4,1,1,45,2,1,0,3,1,0,-1,NA,29600,7,0,4,4,4,1,1,1
"48",54,22,28,103,1,1971,2,4,1,4,1,3,5,30000,39000,4,5,2,4,3,3,2021,4,1,0,50,3,0,1,1,1,0,4,30000,39000,5,0,4,3,3,1,1,1
"49",55,22,28,103,2,1956,2,2,1,4,1,NA,NA,-8,7400,5,5,5,4,3,3,2021,4,1,1,65,3,1,1,1,1,0,5,NA,7400,NA,NA,4,3,3,1,1,1
"50",56,22,28,103,1,1969,2,2,1,4,1,2,8,-8,38000,4,3,1,4,1,1,2021,4,1,0,52,3,1,1,1,1,0,4,NA,38000,8,0,4,1,1,1,0,0
"51",58,22,7,108,2,1967,3,2,1,4,1,NA,NA,10000,25000,5,5,5,3,-1,-1,2021,4,1,1,54,3,1,1,2,1,0,5,10000,25000,NA,NA,3,-1,-1,1,0,0
"52",59,22,7,108,2,1970,3,2,1,4,1,4,NA,-8,1e+05,3,3,-1,4,4,4,2021,4,1,1,51,3,1,1,2,1,0,3,NA,1e+05,NA,NA,4,4,4,1,1,1
