"","id","a1_1_a","a1b1_a","a1d1","a1e1","a2","a3","a4a","a5a","b3a","b4a","fam_inc","c51a2","c51a3","c51b2","c51b3","c51c2","c51c3","d3a","d3b","d3c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","party","incomFam","socialLevel","occ","occR","occP","occPr","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"199",5404008,1996,2,2,1,14,1,1,NA,4,NA,8000,2,1,2,1,NA,NA,3,3,3,4,4,4,2019,4,1,1,23,1,0,1,1,1,8000,3,NA,0,NA,NA,4,4,4,1,1,1
"200",5404009,1989,1,2,2,14,4,1,NA,4,NA,15000,2,1,2,1,2,1,3,2,2,4,4,4,2019,4,1,0,30,2,1,1,1,0,15000,3,NA,0,1,1,4,4,4,1,1,1
"201",5404014,1986,2,2,2,14,4,1,NA,4,NA,280000,NA,NA,NA,NA,NA,NA,2,3,2,4,3,4,2019,4,1,1,33,2,1,1,1,0,280000,2,NA,0,NA,NA,4,3,4,1,1,1
"202",5404018,1983,1,2,2,14,4,1,NA,4,NA,19000,NA,NA,NA,NA,NA,NA,3,4,3,4,4,4,2019,4,1,0,36,2,1,1,1,0,19000,3,NA,0,NA,NA,4,4,4,1,1,1
"203",5404020,1987,1,2,4,14,1,1,"藏传佛教",NA,NA,85000,NA,NA,NA,NA,NA,NA,4,4,4,3,3,3,2019,4,1,0,32,2,0,1,1,1,85000,4,NA,NA,NA,NA,3,3,3,1,1,1
"204",5404025,1975,2,1,2,14,4,1,NA,4,NA,20000,2,1,2,1,2,1,3,3,3,4,4,4,2019,4,1,1,44,2,1,1,0,0,20000,3,NA,0,1,1,4,4,4,1,1,1
"205",5402036,1963,1,2,1,14,1,1,NA,NA,NA,4200,2,1,2,1,NA,NA,5,5,5,3,3,3,2019,4,1,0,56,3,0,1,1,1,4200,5,NA,NA,NA,NA,3,3,3,1,1,1
"206",5402015,1999,2,4,1,14,4,1,NA,4,NA,23000,2,1,2,1,NA,NA,4,4,4,4,4,4,2019,4,1,1,20,1,0,1,3,0,23000,4,NA,0,NA,NA,4,4,4,1,1,1
"207",5402021,1982,2,2,2,14,4,1,"藏传佛教",NA,NA,30000,2,1,2,1,2,1,4,4,4,3,3,3,2019,4,1,1,37,2,1,1,1,0,30000,4,NA,NA,1,1,3,3,3,1,1,1
"208",5402025,1958,2,10,5,14,4,1,NA,4,NA,154800,NA,NA,NA,NA,NA,NA,3,3,6,4,4,4,2019,4,1,1,61,3,0,1,NA,0,154800,3,NA,0,NA,NA,4,4,4,1,1,1
