"","id","a1_1_a","a1b1_a","a1d1","a1e1","a2","a3","a4a","a5a","b3a","b4a","fam_inc","c51a2","c51a3","c51b2","c51b3","c51c2","c51c3","d3a","d3b","d3c","f1a_1","f1a_2","f1a_3","year","wave","time","female","age","corhort","marriage","hukouRural","edu","party","incomFam","socialLevel","occ","occR","occP","occPr","trust_gover","trust_quxian","trust_xiangzhen","trust_goverR","trust_quxianR","trust_xiangzhenR"
"116",3106022,1978,1,4,2,10,4,1,NA,1,5,86000,NA,NA,NA,NA,NA,NA,4,3,6,4,4,3,2019,4,1,0,41,2,1,1,3,0,86000,4,5,0,NA,NA,4,4,3,1,1,1
"117",3106024,1953,2,2,2,10,4,2,NA,NA,NA,58400,2,1,2,1,1,11,3,2,5,3,3,2,2019,4,1,1,66,3,1,0,1,0,58400,3,NA,NA,11,0,3,3,2,1,1,0
"118",3106013,1986,2,8,2,10,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,3,3,2019,4,1,1,33,2,1,0,4,1,NA,3,2,1,NA,NA,4,3,3,1,1,1
"119",3106014,1965,1,3,1,10,4,1,NA,1,5,131300,1,6,1,6,NA,NA,5,5,5,4,3,3,2019,4,1,0,54,3,0,1,2,0,131300,5,5,0,NA,NA,4,3,3,1,1,1
"120",3106007,1981,1,3,2,10,4,1,NA,1,2,177000,NA,NA,NA,NA,NA,NA,5,5,5,4,4,3,2019,4,1,0,38,2,1,1,2,0,177000,5,2,1,NA,NA,4,4,3,1,1,1
"121",3101003,1983,1,8,1,10,4,2,NA,1,5,370000,1,6,1,6,NA,NA,4,4,4,2,2,2,2019,4,1,0,36,2,0,0,4,0,370000,4,5,0,NA,NA,2,2,2,0,0,0
"122",3106025,1973,1,2,2,10,4,1,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,3,3,4,4,2,2,2019,4,1,0,46,2,1,1,1,0,50000,3,NA,NA,NA,NA,4,2,2,1,0,0
"123",3106023,1958,1,1,2,10,4,3,NA,NA,NA,50500,2,1,2,1,2,1,5,5,5,4,4,3,2019,4,1,0,61,3,1,0,0,0,50500,5,NA,NA,1,1,4,4,3,1,1,1
"124",3106021,1972,1,3,2,10,4,1,NA,1,5,82800,1,11,5,1,1,11,4,4,4,4,3,2,2019,4,1,0,47,2,1,1,2,0,82800,4,5,0,11,0,4,3,2,1,1,0
"125",3106003,1982,1,3,2,10,4,1,NA,1,5,1e+05,NA,NA,NA,NA,NA,NA,5,5,5,2,1,1,2019,4,1,0,37,2,1,1,2,0,1e+05,5,5,0,NA,NA,2,1,1,0,0,0
