"","id","s41","a2","a3a","s5","a18","a4","a10","a7a","a8a","a43a","a62","a69","a73","a87","a88","a59j","a59k","d302","d303","year","wave","time","province","rural","female","age","corhort","marriage","socialLevel","hukouRural","race","party","party_parter","edu","incomePer","incomeFam","job","occ","occR","occ_parter","occ_parterR","trust_gover","trust_local","trust_goverR","trust_localR"
"5603",5603,220000,1,1982,1,1,1,4,10,21400,2,41600,3,4,2,3,2,1,2,1,2010,3,0,"吉林省",0,0,28,1,1,2,1,1,0,0,4,21400,41600,2,1,1,3,0,2,1,0,0
"5604",5604,220000,2,1972,1,2,1,4,4,12000,1,12000,3,4,NA,NA,5,3,4,4,2010,3,0,"吉林省",0,1,38,2,1,1,0,1,0,0,2,12000,12000,5,3,0,NA,NA,4,4,1,1
"5605",5605,220000,2,1955,1,2,4,1,12,20000,3,40000,3,4,NA,NA,2,1,4,3,2010,3,0,"吉林省",0,1,55,3,1,3,0,0,1,0,4,20000,40000,2,1,1,NA,NA,4,3,1,NA
"5606",5606,220000,1,1943,1,2,1,1,4,13200,3,26400,3,1,NA,NA,NA,NA,4,3,2010,3,0,"吉林省",0,0,67,3,1,3,0,1,1,1,2,13200,26400,NA,NA,NA,NA,NA,4,3,1,NA
"5607",5607,220000,1,1987,1,1,1,4,4,10000,2,10000,1,NA,NA,NA,NA,NA,2,2,2010,3,0,"吉林省",0,0,23,1,0,2,1,1,0,NA,2,10000,10000,NA,NA,NA,NA,NA,2,2,0,0
"5608",5608,220000,2,1936,1,2,1,4,4,11000,4,35000,3,1,NA,NA,NA,NA,4,3,2010,3,0,"吉林省",0,1,74,4,1,4,0,1,0,1,2,11000,35000,NA,NA,NA,NA,NA,4,3,1,NA
"5609",5609,220000,2,1983,1,2,1,1,12,30000,5,9999999,3,4,3,1,2,3,4,4,2010,3,0,"吉林省",0,1,27,1,1,5,0,1,1,0,4,30000,NA,2,3,0,1,1,4,4,1,1
"5610",5610,220000,1,1951,1,2,1,4,4,12000,5,24000,3,4,NA,NA,NA,NA,4,4,2010,3,0,"吉林省",0,0,59,3,1,5,0,1,0,0,2,12000,24000,NA,NA,NA,NA,NA,4,4,1,1
"5611",5611,220000,2,1946,1,2,1,4,4,10000,5,21000,3,1,NA,NA,NA,NA,5,5,2010,3,0,"吉林省",0,1,64,3,1,5,0,1,0,1,2,10000,21000,NA,NA,NA,NA,NA,5,5,1,1
"5612",5612,220000,2,1941,1,2,1,4,4,9660,2,50000,3,1,NA,NA,NA,NA,5,4,2010,3,0,"吉林省",0,1,69,3,1,2,0,1,0,1,2,9660,50000,NA,NA,NA,NA,NA,5,4,1,1
