"","id","s41","a2","a3a","s5","a18","a4","a10","a7a","a8a","a43a","a62","a69","a73","a87","a88","a59j","a59k","d302","d303","year","wave","time","province","rural","female","age","corhort","marriage","socialLevel","hukouRural","race","party","party_parter","edu","incomePer","incomeFam","job","occ","occR","occ_parter","occ_parterR","trust_gover","trust_local","trust_goverR","trust_localR"
"1",1,5e+05,2,1971,1,1,1,4,3,0,5,110000,3,4,5,3,NA,NA,5,5,2010,3,0,"重庆市",0,1,39,2,1,5,1,1,0,0,1,0,110000,NA,NA,NA,3,0,5,5,1,1
"2",2,5e+05,2,1977,1,1,1,4,4,9999997,4,12000,3,4,2,3,NA,NA,4,3,2010,3,0,"重庆市",0,1,33,2,1,4,1,1,0,0,2,NA,12000,NA,NA,NA,3,0,4,3,1,NA
"3",3,5e+05,2,1988,1,2,1,3,10,9999997,4,9999998,1,NA,NA,NA,NA,NA,4,1,2010,3,0,"重庆市",0,1,22,1,0,4,0,1,0,NA,4,NA,NA,NA,NA,NA,NA,NA,4,1,1,0
"4",4,5e+05,2,1948,1,1,1,4,1,0,2,11000,6,NA,NA,NA,NA,NA,5,2,2010,3,0,"重庆市",0,1,62,3,0,2,1,1,0,NA,0,0,11000,NA,NA,NA,NA,NA,5,2,1,0
"5",5,5e+05,1,1952,1,1,1,1,3,3000,1,12000,3,4,NA,NA,2,3,5,5,2010,3,0,"重庆市",0,0,58,3,1,1,1,1,1,0,1,3000,12000,2,3,0,NA,NA,5,5,1,1
"6",6,5e+05,1,1963,1,1,1,4,4,20000,5,9999998,3,4,NA,NA,5,NA,5,2,2010,3,0,"重庆市",0,0,47,2,1,5,1,1,0,0,2,20000,NA,5,NA,0,NA,NA,5,2,1,0
"7",7,5e+05,1,1952,1,1,1,4,3,9999998,5,15000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",0,0,58,3,1,5,1,1,0,0,1,NA,15000,NA,NA,NA,NA,NA,5,4,1,1
"8",8,5e+05,1,1969,1,1,1,4,6,8500,4,11000,3,4,NA,NA,5,3,4,2,2010,3,0,"重庆市",0,0,41,2,1,4,1,1,0,0,3,8500,11000,5,3,0,NA,NA,4,2,1,0
"9",9,5e+05,2,1973,1,2,1,4,3,4200,1,4200,4,4,NA,NA,NA,NA,5,3,2010,3,0,"重庆市",0,1,37,2,0,1,0,1,0,0,1,4200,4200,NA,NA,NA,NA,NA,5,3,1,NA
"10",10,5e+05,1,1981,1,2,1,3,6,8500,4,42000,1,NA,NA,NA,5,3,5,3,2010,3,0,"重庆市",0,0,29,1,0,4,0,1,0,NA,3,8500,42000,5,3,0,NA,NA,5,3,1,NA
"11",11,5e+05,1,1934,1,2,1,1,6,18000,6,18000,3,4,NA,NA,NA,NA,5,3,2010,3,0,"重庆市",0,0,76,4,1,6,0,1,1,0,3,18000,18000,NA,NA,NA,NA,NA,5,3,1,NA
"12",12,5e+05,1,1964,1,2,1,3,4,5000,9,17000,3,3,5,3,5,3,5,4,2010,3,0,"重庆市",0,0,46,2,1,9,0,1,0,0,2,5000,17000,5,3,0,3,0,5,4,1,1
"13",13,5e+05,2,1971,1,1,1,4,3,0,5,20000,3,4,5,3,NA,NA,5,2,2010,3,0,"重庆市",0,1,39,2,1,5,1,1,0,0,1,0,20000,NA,NA,NA,3,0,5,2,1,0
"14",14,5e+05,2,1964,1,1,1,4,6,0,4,20700,3,4,NA,NA,NA,NA,5,2,2010,3,0,"重庆市",0,1,46,2,1,4,1,1,0,0,3,0,20700,NA,NA,NA,NA,NA,5,2,1,0
"15",15,5e+05,2,1967,1,1,1,4,3,0,3,9999998,3,4,2,3,NA,NA,5,4,2010,3,0,"重庆市",0,1,43,2,1,3,1,1,0,0,1,0,NA,NA,NA,NA,3,0,5,4,1,1
"16",16,5e+05,1,1933,1,2,1,1,2,22000,7,23000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",0,0,77,4,1,7,0,1,1,0,1,22000,23000,NA,NA,NA,NA,NA,5,4,1,1
"17",17,5e+05,2,1977,1,2,1,3,4,20000,3,40000,3,4,1,NA,5,3,5,3,2010,3,0,"重庆市",0,1,33,2,1,3,0,1,0,0,2,20000,40000,5,3,0,NA,1,5,3,1,NA
"18",18,5e+05,2,1949,1,2,1,4,1,2320,4,2320,3,4,NA,NA,NA,NA,5,2,2010,3,0,"重庆市",0,1,61,3,1,4,0,1,0,0,0,2320,2320,NA,NA,NA,NA,NA,5,2,1,0
"19",19,5e+05,1,1954,1,1,1,1,4,21000,4,22000,3,4,NA,NA,2,1,5,1,2010,3,0,"重庆市",0,0,56,3,1,4,1,1,1,0,2,21000,22000,2,1,1,NA,NA,5,1,1,0
"20",20,5e+05,1,1969,1,2,1,4,3,5000,1,7400,4,4,2,3,5,NA,5,2,2010,3,0,"重庆市",0,0,41,2,0,1,0,1,0,0,1,5000,7400,5,NA,0,3,0,5,2,1,0
"21",21,5e+05,2,1963,1,1,1,4,1,6000,3,11000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",0,1,47,2,1,3,1,1,0,0,0,6000,11000,NA,NA,NA,NA,NA,5,4,1,1
"22",22,5e+05,2,1971,1,1,1,4,4,9999997,4,6000,3,1,NA,NA,NA,NA,5,2,2010,3,0,"重庆市",0,1,39,2,1,4,1,1,0,1,2,NA,6000,NA,NA,NA,NA,NA,5,2,1,0
"23",23,5e+05,2,1944,2,1,1,4,1,1000,3,9999998,6,NA,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,1,66,3,0,3,1,1,0,NA,0,1000,NA,NA,NA,NA,NA,NA,5,4,1,1
"24",24,5e+05,1,1969,2,1,1,4,3,2000,2,4000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,41,2,1,2,1,1,0,0,1,2000,4000,NA,NA,NA,NA,NA,5,5,1,1
"25",25,5e+05,2,1964,2,1,1,4,1,0,2,3000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,1,46,2,1,2,1,1,0,0,0,0,3000,NA,NA,NA,NA,NA,5,4,1,1
"26",26,5e+05,2,1951,2,1,1,4,1,5000,2,8000,3,4,NA,NA,NA,NA,5,1,2010,3,0,"重庆市",1,1,59,3,1,2,1,1,0,0,0,5000,8000,NA,NA,NA,NA,NA,5,1,1,0
"27",27,5e+05,1,1955,2,1,1,4,3,3000,3,4000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,0,55,3,1,3,1,1,0,0,1,3000,4000,NA,NA,NA,NA,NA,5,4,1,1
"28",28,5e+05,2,1941,2,1,1,4,3,500,3,2000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,69,3,1,3,1,1,0,0,1,500,2000,NA,NA,NA,NA,NA,5,5,1,1
"29",29,5e+05,2,1942,2,1,1,4,3,1000,3,13000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,68,3,1,3,1,1,0,0,1,1000,13000,NA,NA,NA,NA,NA,5,5,1,1
"30",30,5e+05,1,1955,2,1,1,4,1,9999997,3,1300,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,55,3,1,3,1,1,0,0,0,NA,1300,NA,NA,NA,NA,NA,5,5,1,1
"31",31,5e+05,1,1969,2,1,1,4,3,1400,2,9000,3,4,NA,NA,NA,NA,5,2,2010,3,0,"重庆市",1,0,41,2,1,2,1,1,0,0,1,1400,9000,NA,NA,NA,NA,NA,5,2,1,0
"32",32,5e+05,2,1964,2,1,1,4,1,3000,2,26000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,46,2,1,2,1,1,0,0,0,3000,26000,NA,NA,NA,NA,NA,5,5,1,1
"33",33,5e+05,1,1951,2,1,1,1,3,8000,4,10000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,59,3,1,4,1,1,1,0,1,8000,10000,NA,NA,NA,NA,NA,5,5,1,1
"34",34,5e+05,2,1965,2,1,1,4,1,3000,2,39000,3,4,5,3,NA,NA,5,5,2010,3,0,"重庆市",1,1,45,2,1,2,1,1,0,0,0,3000,39000,NA,NA,NA,3,0,5,5,1,1
"35",35,5e+05,2,1976,2,1,1,4,3,3500,4,20000,3,4,5,3,NA,NA,4,4,2010,3,0,"重庆市",1,1,34,2,1,4,1,1,0,0,1,3500,20000,NA,NA,NA,3,0,4,4,1,1
"36",36,5e+05,2,1951,2,1,1,4,3,4000,3,4000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,59,3,1,3,1,1,0,0,1,4000,4000,NA,NA,NA,NA,NA,5,5,1,1
"37",37,5e+05,1,1952,2,1,1,4,3,2500,3,56000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,58,3,1,3,1,1,0,0,1,2500,56000,NA,NA,NA,NA,NA,5,5,1,1
"38",38,5e+05,2,1978,2,1,1,4,3,3000,4,4000,3,4,NA,NA,NA,NA,5,3,2010,3,0,"重庆市",1,1,32,2,1,4,1,1,0,0,1,3000,4000,NA,NA,NA,NA,NA,5,3,1,NA
"39",39,5e+05,1,1973,2,1,1,4,3,3000,2,5000,3,4,NA,NA,NA,NA,3,3,2010,3,0,"重庆市",1,0,37,2,1,2,1,1,0,0,1,3000,5000,NA,NA,NA,NA,NA,3,3,NA,NA
"40",40,5e+05,1,1965,2,1,1,4,3,2000,4,16500,3,4,2,3,NA,NA,5,5,2010,3,0,"重庆市",1,0,45,2,1,4,1,1,0,0,1,2000,16500,NA,NA,NA,3,0,5,5,1,1
"41",41,5e+05,2,1989,2,1,1,4,3,2000,4,4000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,21,1,1,4,1,1,0,0,1,2000,4000,NA,NA,NA,NA,NA,5,5,1,1
"42",42,5e+05,1,1943,2,1,1,4,1,10000,4,10000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,67,3,1,4,1,1,0,0,0,10000,10000,NA,NA,NA,NA,NA,5,5,1,1
"43",43,5e+05,1,1940,2,2,1,4,4,20000,3,21000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,70,4,1,3,0,1,0,0,2,20000,21000,NA,NA,NA,NA,NA,5,5,1,1
"44",44,5e+05,2,1962,2,1,1,4,4,3000,2,50000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,48,2,1,2,1,1,0,0,2,3000,50000,NA,NA,NA,NA,NA,5,5,1,1
"45",45,5e+05,1,1980,2,1,1,4,3,6000,1,6000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,30,2,1,1,1,1,0,0,1,6000,6000,NA,NA,NA,NA,NA,5,5,1,1
"46",46,5e+05,1,1992,2,1,1,4,4,9999997,6,10000,1,NA,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,0,18,1,0,6,1,1,0,NA,2,NA,10000,NA,NA,NA,NA,NA,5,4,1,1
"47",47,5e+05,2,1953,2,1,1,4,1,2000,2,44000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,57,3,1,2,1,1,0,0,0,2000,44000,NA,NA,NA,NA,NA,5,5,1,1
"48",48,5e+05,1,1976,2,1,1,4,3,3500,3,7000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,34,2,1,3,1,1,0,0,1,3500,7000,NA,NA,NA,NA,NA,5,5,1,1
"49",49,5e+05,2,1965,2,1,1,4,4,9999999,4,10000,3,4,2,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,45,2,1,4,1,1,0,0,2,NA,10000,NA,NA,NA,NA,NA,5,5,1,1
"50",50,5e+05,1,1986,2,1,1,4,4,6000,3,12000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,24,1,1,3,1,1,0,0,2,6000,12000,NA,NA,NA,NA,NA,5,5,1,1
"51",51,5e+05,2,1949,2,1,1,4,3,1000,2,3500,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,61,3,1,2,1,1,0,0,1,1000,3500,NA,NA,NA,NA,NA,5,5,1,1
"52",52,5e+05,1,1949,2,1,1,4,4,2000,3,4000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,61,3,1,3,1,1,0,0,2,2000,4000,NA,NA,NA,NA,NA,5,5,1,1
"53",53,5e+05,2,1966,2,1,1,4,1,5000,3,10000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,44,2,1,3,1,1,0,0,0,5000,10000,NA,NA,NA,NA,NA,5,5,1,1
"54",54,5e+05,2,1947,2,1,1,4,1,1000,3,11000,6,NA,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,63,3,0,3,1,1,0,NA,0,1000,11000,NA,NA,NA,NA,NA,5,5,1,1
"55",55,5e+05,1,1962,2,1,1,4,4,3000,5,12000,3,4,NA,NA,NA,NA,4,4,2010,3,0,"重庆市",1,0,48,2,1,5,1,1,0,0,2,3000,12000,NA,NA,NA,NA,NA,4,4,1,1
"56",56,5e+05,2,1950,2,1,1,4,1,2500,2,12500,6,NA,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,60,3,0,2,1,1,0,NA,0,2500,12500,NA,NA,NA,NA,NA,5,5,1,1
"57",57,5e+05,2,1956,2,1,1,4,1,4000,5,9000,3,4,5,3,NA,NA,5,5,2010,3,0,"重庆市",1,1,54,3,1,5,1,1,0,0,0,4000,9000,NA,NA,NA,3,0,5,5,1,1
"58",58,5e+05,1,1966,2,1,1,4,1,2000,NA,2000,1,NA,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,44,2,0,NA,1,1,0,NA,0,2000,2000,NA,NA,NA,NA,NA,5,5,1,1
"59",59,5e+05,2,1974,2,1,1,4,3,2000,3,4000,3,4,NA,NA,NA,NA,NA,NA,2010,3,0,"重庆市",1,1,36,2,1,3,1,1,0,0,1,2000,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,5e+05,1,1935,2,1,1,4,1,1000,3,12000,6,NA,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,0,75,4,0,3,1,1,0,NA,0,1000,12000,NA,NA,NA,NA,NA,5,4,1,1
"61",61,5e+05,1,1939,2,1,1,4,3,3000,4,3000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,71,4,1,4,1,1,0,0,1,3000,3000,NA,NA,NA,NA,NA,5,5,1,1
"62",62,5e+05,2,1957,2,1,1,4,1,2000,2,4000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,53,3,1,2,1,1,0,0,0,2000,4000,NA,NA,NA,NA,NA,5,5,1,1
"63",63,5e+05,2,1959,2,1,1,4,1,2000,4,15000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,51,3,1,4,1,1,0,0,0,2000,15000,NA,NA,NA,NA,NA,5,5,1,1
"64",64,5e+05,1,1927,2,1,1,4,2,1000,3,9999998,6,NA,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,0,83,4,0,3,1,1,0,NA,1,1000,NA,NA,NA,NA,NA,NA,5,4,1,1
"65",65,5e+05,2,1950,2,1,1,4,1,1000,4,2000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,1,60,3,1,4,1,1,0,0,0,1000,2000,NA,NA,NA,NA,NA,5,4,1,1
"66",66,5e+05,1,1944,2,1,1,4,3,1000,3,3000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,66,3,1,3,1,1,0,0,1,1000,3000,NA,NA,NA,NA,NA,5,5,1,1
"67",67,5e+05,2,1970,2,1,1,4,3,2500,4,22500,3,4,2,3,NA,NA,5,5,2010,3,0,"重庆市",1,1,40,2,1,4,1,1,0,0,1,2500,22500,NA,NA,NA,3,0,5,5,1,1
"68",68,5e+05,2,1978,2,1,1,4,1,15000,3,25000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,1,32,2,1,3,1,1,0,0,0,15000,25000,NA,NA,NA,NA,NA,5,4,1,1
"69",69,5e+05,2,1963,2,1,1,4,4,1000,4,8000,3,1,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,47,2,1,4,1,1,0,1,2,1000,8000,NA,NA,NA,NA,NA,5,5,1,1
"70",70,5e+05,2,1973,2,1,1,4,3,1500,5,15000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,37,2,1,5,1,1,0,0,1,1500,15000,NA,NA,NA,NA,NA,5,5,1,1
"71",71,5e+05,2,1973,2,1,1,4,3,2000,3,10000,3,4,2,2,NA,NA,5,5,2010,3,0,"重庆市",1,1,37,2,1,3,1,1,0,0,1,2000,10000,NA,NA,NA,2,1,5,5,1,1
"72",72,5e+05,2,1957,2,1,1,4,3,4000,4,6500,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,53,3,1,4,1,1,0,0,1,4000,6500,NA,NA,NA,NA,NA,5,5,1,1
"73",73,5e+05,2,1975,2,1,1,4,1,10000,2,10000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,35,2,1,2,1,1,0,0,0,10000,10000,NA,NA,NA,NA,NA,5,5,1,1
"74",74,5e+05,2,1941,2,1,1,4,1,9999998,3,3000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,69,3,1,3,1,1,0,0,0,NA,3000,NA,NA,NA,NA,NA,5,5,1,1
"75",75,5e+05,1,1974,2,1,1,4,3,2000,5,22000,3,4,2,3,NA,NA,5,5,2010,3,0,"重庆市",1,0,36,2,1,5,1,1,0,0,1,2000,22000,NA,NA,NA,3,0,5,5,1,1
"76",76,5e+05,2,1957,2,1,1,4,1,5000,2,15000,3,4,NA,NA,NA,NA,5,2,2010,3,0,"重庆市",1,1,53,3,1,2,1,1,0,0,0,5000,15000,NA,NA,NA,NA,NA,5,2,1,0
"77",77,5e+05,2,1967,2,1,1,4,3,17000,4,18000,3,1,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,43,2,1,4,1,1,0,1,1,17000,18000,NA,NA,NA,NA,NA,5,5,1,1
"78",78,5e+05,1,1937,2,1,1,1,3,5000,5,10000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,73,4,1,5,1,1,1,0,1,5000,10000,NA,NA,NA,NA,NA,5,5,1,1
"79",79,5e+05,2,1965,2,1,1,4,1,10000,4,20000,3,4,NA,NA,NA,NA,4,4,2010,3,0,"重庆市",1,1,45,2,1,4,1,1,0,0,0,10000,20000,NA,NA,NA,NA,NA,4,4,1,1
"80",80,5e+05,2,1965,2,1,1,4,1,9999998,4,9999998,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,45,2,1,4,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,5,1,1
"81",81,5e+05,2,1971,2,1,1,4,3,11000,3,22000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,39,2,1,3,1,1,0,0,1,11000,22000,NA,NA,NA,NA,NA,5,5,1,1
"82",82,5e+05,2,1953,2,1,1,1,1,9999997,2,15000,3,1,5,3,NA,NA,5,4,2010,3,0,"重庆市",1,1,57,3,1,2,1,1,1,1,0,NA,15000,NA,NA,NA,3,0,5,4,1,1
"83",83,5e+05,2,1975,2,1,1,4,3,6000,3,12000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,35,2,1,3,1,1,0,0,1,6000,12000,NA,NA,NA,NA,NA,5,5,1,1
"84",84,5e+05,1,1946,2,1,1,4,3,5000,3,10000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,64,3,1,3,1,1,0,0,1,5000,10000,NA,NA,NA,NA,NA,5,5,1,1
"85",85,5e+05,1,1938,2,1,1,4,1,2000,2,2000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,0,72,4,1,2,1,1,0,0,0,2000,2000,NA,NA,NA,NA,NA,5,4,1,1
"86",86,5e+05,1,1975,2,1,1,1,4,10000,3,10000,3,4,NA,NA,NA,NA,4,2,2010,3,0,"重庆市",1,0,35,2,1,3,1,1,1,0,2,10000,10000,NA,NA,NA,NA,NA,4,2,1,0
"87",87,5e+05,2,1950,2,1,1,4,1,9999998,4,20000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,1,60,3,1,4,1,1,0,0,0,NA,20000,NA,NA,NA,NA,NA,5,4,1,1
"88",88,5e+05,1,1949,2,1,1,4,3,0,2,6000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,61,3,1,2,1,1,0,0,1,0,6000,NA,NA,NA,NA,NA,5,5,1,1
"89",89,5e+05,2,1965,2,1,1,1,4,8000,3,18000,3,1,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,45,2,1,3,1,1,1,1,2,8000,18000,NA,NA,NA,NA,NA,5,5,1,1
"90",90,5e+05,1,1953,2,1,1,4,3,10000,1,11000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,57,3,1,1,1,1,0,0,1,10000,11000,NA,NA,NA,NA,NA,5,5,1,1
"91",91,5e+05,2,1972,2,1,1,4,3,4000,3,20000,3,4,2,3,NA,NA,5,4,2010,3,0,"重庆市",1,1,38,2,1,3,1,1,0,0,1,4000,20000,NA,NA,NA,3,0,5,4,1,1
"92",92,5e+05,2,1976,2,1,1,4,3,10000,4,20000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,1,34,2,1,4,1,1,0,0,1,10000,20000,NA,NA,NA,NA,NA,5,5,1,1
"93",93,5e+05,1,1950,2,1,1,4,1,10000,3,15000,3,4,NA,NA,NA,NA,5,2,2010,3,0,"重庆市",1,0,60,3,1,3,1,1,0,0,0,10000,15000,NA,NA,NA,NA,NA,5,2,1,0
"94",94,5e+05,1,1952,2,1,1,4,1,2000,3,2000,1,NA,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,0,58,3,0,3,1,1,0,NA,0,2000,2000,NA,NA,NA,NA,NA,5,4,1,1
"95",95,5e+05,1,1949,2,1,1,4,3,1500,3,3000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",1,0,61,3,1,3,1,1,0,0,1,1500,3000,NA,NA,NA,NA,NA,5,5,1,1
"96",96,5e+05,2,1968,2,1,1,4,1,2000,2,8000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,1,42,2,1,2,1,1,0,0,0,2000,8000,NA,NA,NA,NA,NA,5,4,1,1
"97",97,5e+05,2,1966,2,1,1,4,1,1000,2,10000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",1,1,44,2,1,2,1,1,0,0,0,1000,10000,NA,NA,NA,NA,NA,5,4,1,1
"98",98,5e+05,2,1963,1,2,1,4,4,30000,5,45000,3,1,NA,NA,5,3,5,4,2010,3,0,"重庆市",0,1,47,2,1,5,0,1,0,1,2,30000,45000,5,3,0,NA,NA,5,4,1,1
"99",99,5e+05,1,1969,1,2,1,4,4,22000,6,30000,3,4,5,3,5,NA,5,2,2010,3,0,"重庆市",0,0,41,2,1,6,0,1,0,0,2,22000,30000,5,NA,0,3,0,5,2,1,0
"100",100,5e+05,1,1944,1,2,1,4,7,20000,4,36000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",0,0,66,3,1,4,0,1,0,0,3,20000,36000,NA,NA,NA,NA,NA,5,5,1,1
"101",101,5e+05,1,1978,1,2,1,4,4,0,5,12000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",0,0,32,2,1,5,0,1,0,0,2,0,12000,NA,NA,NA,NA,NA,5,4,1,1
"102",102,5e+05,1,1954,1,2,1,4,4,2940,5,8340,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",0,0,56,3,1,5,0,1,0,0,2,2940,8340,NA,NA,NA,NA,NA,5,5,1,1
"103",103,5e+05,2,1952,1,2,1,4,1,0,3,35000,3,1,NA,NA,NA,NA,4,4,2010,3,0,"重庆市",0,1,58,3,1,3,0,1,0,1,0,0,35000,NA,NA,NA,NA,NA,4,4,1,1
"104",104,5e+05,1,1962,1,2,1,4,3,15000,5,40000,3,4,5,3,4,2,5,5,2010,3,0,"重庆市",0,0,48,2,1,5,0,1,0,0,1,15000,40000,4,2,1,3,0,5,5,1,1
"105",105,5e+05,1,1972,1,2,1,4,7,6240,3,6240,5,NA,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",0,0,38,2,0,3,0,1,0,NA,3,6240,6240,NA,NA,NA,NA,NA,5,5,1,1
"106",106,5e+05,2,1946,1,2,1,1,7,18000,5,56400,3,1,NA,NA,NA,NA,5,3,2010,3,0,"重庆市",0,1,64,3,1,5,0,1,1,1,3,18000,56400,NA,NA,NA,NA,NA,5,3,1,NA
"107",107,5e+05,1,1964,1,2,1,1,6,150000,6,150000,3,4,NA,NA,5,3,4,4,2010,3,0,"重庆市",0,0,46,2,1,6,0,1,1,0,3,150000,150000,5,3,0,NA,NA,4,4,1,1
"108",108,5e+05,1,1961,1,1,1,4,4,36000,4,47700,3,4,NA,NA,5,3,5,4,2010,3,0,"重庆市",0,0,49,2,1,4,1,1,0,0,2,36000,47700,5,3,0,NA,NA,5,4,1,1
"109",109,5e+05,1,1950,1,2,1,3,3,22000,4,35000,3,3,2,3,NA,NA,5,5,2010,3,0,"重庆市",0,0,60,3,1,4,0,1,0,0,1,22000,35000,NA,NA,NA,3,0,5,5,1,1
"110",110,5e+05,2,1971,1,2,1,4,4,0,4,20000,3,4,5,3,NA,NA,5,4,2010,3,0,"重庆市",0,1,39,2,1,4,0,1,0,0,2,0,20000,NA,NA,NA,3,0,5,4,1,1
"111",111,5e+05,1,1967,1,1,1,1,5,11200,3,11200,3,4,NA,NA,5,NA,5,4,2010,3,0,"重庆市",0,0,43,2,1,3,1,1,1,0,3,11200,11200,5,NA,0,NA,NA,5,4,1,1
"112",112,5e+05,2,1969,1,2,1,4,5,0,4,15000,3,4,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",0,1,41,2,1,4,0,1,0,0,3,0,15000,NA,NA,NA,NA,NA,5,5,1,1
"113",113,5e+05,1,1964,1,1,1,4,4,50000,4,50000,3,3,NA,NA,5,3,5,4,2010,3,0,"重庆市",0,0,46,2,1,4,1,1,0,0,2,50000,50000,5,3,0,NA,NA,5,4,1,1
"114",114,5e+05,1,1946,1,2,1,4,4,14400,5,36000,3,4,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",0,0,64,3,1,5,0,1,0,0,2,14400,36000,NA,NA,NA,NA,NA,5,4,1,1
"115",115,5e+05,1,1940,1,2,1,4,3,17000,6,40000,6,NA,NA,NA,NA,NA,5,4,2010,3,0,"重庆市",0,0,70,4,0,6,0,1,0,NA,1,17000,40000,NA,NA,NA,NA,NA,5,4,1,1
"116",116,5e+05,2,1989,1,2,1,3,10,0,1,9999998,1,NA,NA,NA,NA,NA,4,3,2010,3,0,"重庆市",0,1,21,1,0,1,0,1,0,NA,4,0,NA,NA,NA,NA,NA,NA,4,3,1,NA
"117",117,5e+05,2,1957,1,2,1,4,4,14000,6,36000,3,1,NA,NA,NA,NA,5,5,2010,3,0,"重庆市",0,1,53,3,1,6,0,1,0,1,2,14000,36000,NA,NA,NA,NA,NA,5,5,1,1
"118",118,5e+05,1,1972,1,2,1,1,9,45000,5,80000,3,4,NA,NA,3,1,5,5,2010,3,0,"重庆市",0,0,38,2,1,5,0,1,1,0,4,45000,80000,3,1,1,NA,NA,5,5,1,1
"119",119,5e+05,2,1958,1,2,1,4,4,5500,4,19000,6,NA,NA,NA,5,3,5,4,2010,3,0,"重庆市",0,1,52,3,0,4,0,1,0,NA,2,5500,19000,5,3,0,NA,NA,5,4,1,1
