"","id","q2","province_id","v82","v83","v2","v84","v111","v110","v109","v101","v123","v130","v73b","v73c","year","wave","time","province","female","age","corhort","marriage","hukouRural","race","party","edu","eduyear","occ","occR_father","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"39",3523,11010511,11,1,72,2,1,1,3,7,2,1,11,6,6,2002,1,0,"北京市",0,72,4,1,0,1,0,3,7,2,0,1,6,6,1,1
"40",3494,11011211,11,1,61,2,1,3,5,16,2,1,4,6,5,2002,1,0,"北京市",0,61,3,1,0,1,1,4,16,2,1,1,6,5,1,1
"41",3534,11010512,11,1,28,2,1,1,3,12,4,0,4,6,5,2002,1,0,"北京市",0,28,1,0,0,1,0,3,12,4,1,0,6,5,1,1
"42",3514,11011222,11,2,55,2,1,1,2,9,2,1,4,5,3,2002,1,0,"北京市",1,55,3,1,0,1,0,2,9,2,1,1,5,3,1,0
"43",3496,11011211,11,1,70,2,1,3,1,5,2,1,10,5,3,2002,1,0,"北京市",0,70,4,1,0,1,1,1,5,2,0,1,5,3,1,0
"44",3507,11011221,11,1,42,2,1,1,3,11,3,1,4,6,5,2002,1,0,"北京市",0,42,2,1,0,1,0,3,11,3,1,1,6,5,1,1
"45",3499,11011212,11,2,66,2,1,1,1,7,2,1,10,5,5,2002,1,0,"北京市",1,66,3,1,0,1,0,1,7,2,0,1,5,5,1,1
"46",3532,11010512,11,1,65,2,1,1,3,12,1,1,9,5,5,2002,1,0,"北京市",0,65,3,1,0,1,0,3,12,1,0,1,5,5,1,1
"47",3513,11011222,11,2,21,2,1,1,2,9,97,1,4,6,4,2002,1,0,"北京市",1,21,1,1,0,1,0,2,9,97,1,NA,6,4,1,0
"48",3544,11010521,11,1,65,2,3,3,5,17,2,1,10,6,5,2002,1,0,"北京市",0,65,3,1,0,0,1,4,17,2,0,1,6,5,1,1
"49",3520,11011222,11,1,41,2,1,1,3,11,2,1,10,6,5,2002,1,0,"北京市",0,41,2,1,0,1,0,3,11,2,0,1,6,5,1,1
"50",3509,11011221,11,2,38,2,1,1,3,10,2,1,2,6,6,2002,1,0,"北京市",1,38,2,1,0,1,0,3,10,2,1,1,6,6,1,1
"51",3543,11010521,11,2,69,2,1,1,5,16,1,1,11,3,3,2002,1,0,"北京市",1,69,3,1,0,1,0,4,16,1,0,1,3,3,0,0
"52",3511,11011221,11,2,54,2,1,1,2,9,2,1,2,6,4,2002,1,0,"北京市",1,54,3,1,0,1,0,2,9,2,1,1,6,4,1,0
"53",3522,11010511,11,2,43,2,1,1,3,12,3,1,5,6,6,2002,1,0,"北京市",1,43,2,1,0,1,0,3,12,3,1,1,6,6,1,1
"54",3546,11010521,11,2,37,2,1,2,5,14,1,1,1,6,3,2002,1,0,"北京市",1,37,2,1,0,1,0,4,14,1,1,1,6,3,1,0
"55",3490,11011211,11,1,45,2,1,1,3,11,97,1,4,4,4,2002,1,0,"北京市",0,45,2,1,0,1,0,3,11,97,1,NA,4,4,0,0
"56",3517,11011222,11,2,56,1,1,1,2,9,97,1,2,6,5,2002,1,0,"北京市",1,56,3,1,1,1,0,2,9,97,1,NA,6,5,1,1
"57",3510,11011221,11,2,62,2,1,1,3,12,3,1,4,6,6,2002,1,0,"北京市",1,62,3,1,0,1,0,3,12,3,1,1,6,6,1,1
"58",3493,11011211,11,1,75,2,1,3,2,8,2,1,10,6,4,2002,1,0,"北京市",0,75,4,1,0,1,1,2,8,2,0,1,6,4,1,0
"59",3516,11011222,11,2,43,1,1,1,0,0,97,1,10,6,5,2002,1,0,"北京市",1,43,2,1,1,1,0,0,0,97,0,NA,6,5,1,1
"60",3512,11011221,11,2,38,2,1,1,3,12,2,1,4,5,5,2002,1,0,"北京市",1,38,2,1,0,1,0,3,12,2,1,1,5,5,1,1
"61",3537,11010512,11,1,44,2,1,3,5,15,1,1,2,9,9,2002,1,0,"北京市",0,44,2,1,0,1,1,4,15,1,1,1,9,9,NA,NA
"62",3521,11010511,11,1,80,2,1,3,4,12,2,1,11,6,6,2002,1,0,"北京市",0,80,4,1,0,1,1,3,12,2,0,1,6,6,1,1
"63",3536,11010512,11,2,65,2,1,3,1,6,1,1,1,6,5,2002,1,0,"北京市",1,65,3,1,0,1,1,1,6,1,1,1,6,5,1,1
"64",1729,12022311,12,2,40,2,1,1,0,0,97,1,10,8,8,2002,1,0,"天津市",1,40,2,1,0,1,0,0,0,97,0,NA,8,8,NA,NA
"65",1728,12022311,12,1,42,2,1,3,4,13,0,1,1,6,4,2002,1,0,"天津市",0,42,2,1,0,1,1,3,13,0,1,1,6,4,1,0
"66",1733,12022311,12,1,34,2,1,3,4,12,0,1,2,6,6,2002,1,0,"天津市",0,34,2,1,0,1,1,3,12,0,1,1,6,6,1,1
"67",1755,12022314,12,1,22,2,1,2,1,6,97,0,9,5,4,2002,1,0,"天津市",0,22,1,0,0,1,0,1,6,97,0,NA,5,4,1,0
"68",1725,12022311,12,2,32,2,1,1,3,12,3,1,1,6,5,2002,1,0,"天津市",1,32,2,1,0,1,0,3,12,3,1,1,6,5,1,1
"69",1731,12022311,12,2,29,2,1,1,3,12,2,1,1,5,4,2002,1,0,"天津市",1,29,1,1,0,1,0,3,12,2,1,1,5,4,1,0
"70",1727,12022311,12,1,63,2,1,3,2,9,2,1,10,5,3,2002,1,0,"天津市",0,63,3,1,0,1,1,2,9,2,0,1,5,3,1,0
"71",1726,12022311,12,2,45,2,1,1,1,6,2,1,10,6,6,2002,1,0,"天津市",1,45,2,1,0,1,0,1,6,2,0,1,6,6,1,1
"72",1732,12022311,12,2,34,2,1,3,5,14,0,1,10,6,3,2002,1,0,"天津市",1,34,2,1,0,1,1,4,14,0,0,1,6,3,1,0
"73",1730,12022311,12,2,62,2,1,1,1,6,2,1,10,6,3,2002,1,0,"天津市",1,62,3,1,0,1,0,1,6,2,0,1,6,3,1,0
"74",1754,12022314,12,1,63,2,1,1,2,8,97,1,10,6,4,2002,1,0,"天津市",0,63,3,1,0,1,0,2,8,97,0,NA,6,4,1,0
"75",1752,12022314,12,1,46,2,1,3,3,12,2,1,10,0,3,2002,1,0,"天津市",0,46,2,1,0,1,1,3,12,2,0,1,0,3,0,0
"76",1756,12022314,12,1,32,2,1,2,3,12,97,1,10,6,4,2002,1,0,"天津市",0,32,2,1,0,1,0,3,12,97,0,NA,6,4,1,0
"77",1753,12022314,12,1,26,2,1,1,2,9,2,1,10,6,5,2002,1,0,"天津市",0,26,1,1,0,1,0,2,9,2,0,1,6,5,1,1
"78",1758,12022314,12,1,50,2,1,1,2,6,2,1,4,5,5,2002,1,0,"天津市",0,50,3,1,0,1,0,2,6,2,1,1,5,5,1,1
"79",1757,12022314,12,1,52,2,1,1,3,11,2,1,5,6,2,2002,1,0,"天津市",0,52,3,1,0,1,0,3,11,2,1,1,6,2,1,0
"80",1759,12022314,12,2,29,2,1,1,2,9,97,1,4,5,3,2002,1,0,"天津市",1,29,1,1,0,1,0,2,9,97,1,NA,5,3,1,0
"81",1749,12022313,12,1,35,2,1,3,5,15,0,1,10,6,4,2002,1,0,"天津市",0,35,2,1,0,1,1,4,15,0,0,1,6,4,1,0
"82",1735,12022312,12,2,40,2,1,1,3,9,97,1,1,8,8,2002,1,0,"天津市",1,40,2,1,0,1,0,3,9,97,1,NA,8,8,NA,NA
"83",1747,12022313,12,2,39,2,1,1,5,14,1,1,10,6,6,2002,1,0,"天津市",1,39,2,1,0,1,0,4,14,1,0,1,6,6,1,1
"84",1743,12022313,12,2,39,2,1,1,2,9,97,1,10,6,3,2002,1,0,"天津市",1,39,2,1,0,1,0,2,9,97,0,NA,6,3,1,0
"85",1736,12022312,12,1,42,2,1,1,3,9,2,1,1,5,4,2002,1,0,"天津市",0,42,2,1,0,1,0,3,9,2,1,1,5,4,1,0
"86",1740,12022312,12,1,41,2,1,3,2,7,2,1,1,6,4,2002,1,0,"天津市",0,41,2,1,0,1,1,2,7,2,1,1,6,4,1,0
"87",1738,12022312,12,1,33,2,1,1,1,6,2,1,10,6,2,2002,1,0,"天津市",0,33,2,1,0,1,0,1,6,2,0,1,6,2,1,0
"88",1737,12022312,12,2,34,2,1,1,3,9,2,1,4,9,9,2002,1,0,"天津市",1,34,2,1,0,1,0,3,9,2,1,1,9,9,NA,NA
"89",1700,12010212,12,2,20,2,1,2,5,14,97,0,4,6,5,2002,1,0,"天津市",1,20,1,0,0,1,0,4,14,97,1,NA,6,5,1,1
"90",1741,12022312,12,1,38,2,1,3,4,10,2,1,11,5,5,2002,1,0,"天津市",0,38,2,1,0,1,1,3,10,2,0,1,5,5,1,1
"91",1696,12010211,12,2,38,2,1,2,3,10,4,1,4,5,8,2002,1,0,"天津市",1,38,2,1,0,1,0,3,10,4,1,0,5,8,1,NA
"92",1751,12022313,12,1,40,2,1,3,5,19,0,1,10,6,4,2002,1,0,"天津市",0,40,2,1,0,1,1,4,19,0,0,1,6,4,1,0
"93",1734,12022312,12,2,67,2,1,1,2,9,97,1,10,6,4,2002,1,0,"天津市",1,67,3,1,0,1,0,2,9,97,0,NA,6,4,1,0
"94",1702,12010212,12,1,42,2,1,3,4,15,0,1,11,6,9,2002,1,0,"天津市",0,42,2,1,0,1,1,3,15,0,0,1,6,9,1,NA
"95",1721,12010222,12,1,39,3,1,3,5,13,9,1,10,5,5,2002,1,0,"天津市",0,39,2,1,NA,1,1,4,13,9,0,0,5,5,1,1
"96",1744,12022313,12,1,58,2,1,3,3,7,0,1,10,6,6,2002,1,0,"天津市",0,58,3,1,0,1,1,3,7,0,0,1,6,6,1,1
"97",1713,12010221,12,2,27,2,1,1,2,12,1,1,4,8,8,2002,1,0,"天津市",1,27,1,1,0,1,0,2,12,1,1,1,8,8,NA,NA
"98",1748,12023313,12,1,43,2,1,3,4,12,1,1,2,6,5,2002,1,0,"天津市",0,43,2,1,0,1,1,3,12,1,1,1,6,5,1,1
"99",1712,12010221,12,1,36,2,1,1,4,15,2,1,4,6,4,2002,1,0,"天津市",0,36,2,1,0,1,0,3,15,2,1,1,6,4,1,0
"100",1746,12022313,12,2,21,2,1,2,5,15,97,0,5,6,5,2002,1,0,"天津市",1,21,1,0,0,1,0,4,15,97,1,NA,6,5,1,1
"101",1707,12010221,12,2,81,2,1,1,0,0,2,1,10,6,5,2002,1,0,"天津市",1,81,4,1,0,1,0,0,0,2,0,1,6,5,1,1
"102",1710,12010221,12,2,32,2,1,1,4,15,1,1,10,6,4,2002,1,0,"天津市",1,32,2,1,0,1,0,3,15,1,0,1,6,4,1,0
"103",1705,12010212,12,1,30,2,1,1,5,16,1,1,2,4,4,2002,1,0,"天津市",0,30,2,1,0,1,0,4,16,1,1,1,4,4,0,0
"104",1709,12010221,12,1,53,2,1,1,3,12,2,1,4,6,6,2002,1,0,"天津市",0,53,3,1,0,1,0,3,12,2,1,1,6,6,1,1
"105",1714,12010221,12,2,59,2,1,1,0,5,3,1,10,6,6,2002,1,0,"天津市",1,59,3,1,0,1,0,0,5,3,0,1,6,6,1,1
"106",1708,12010221,12,1,28,2,1,2,3,11,97,1,4,6,6,2002,1,0,"天津市",0,28,1,1,0,1,0,3,11,97,1,NA,6,6,1,1
"107",1715,12010221,12,1,90,2,1,1,0,0,2,1,11,6,6,2002,1,0,"天津市",0,90,4,1,0,1,0,0,0,2,0,1,6,6,1,1
"108",1722,12010222,12,1,39,2,1,3,4,11,9,1,10,6,0,2002,1,0,"天津市",0,39,2,1,0,1,1,3,11,9,0,0,6,0,1,0
"109",1718,12010222,12,1,37,2,1,1,2,8,2,1,4,5,5,2002,1,0,"天津市",0,37,2,1,0,1,0,2,8,2,1,1,5,5,1,1
"110",1720,12010222,12,2,48,2,1,1,2,9,2,1,4,6,6,2002,1,0,"天津市",1,48,2,1,0,1,0,2,9,2,1,1,6,6,1,1
"111",1723,12010222,12,2,49,2,1,1,2,9,2,1,11,5,5,2002,1,0,"天津市",1,49,2,1,0,1,0,2,9,2,0,1,5,5,1,1
"112",1716,12010222,12,2,19,2,1,2,3,12,97,0,4,4,0,2002,1,0,"天津市",1,19,1,0,0,1,0,3,12,97,1,NA,4,0,0,0
"113",1724,12010222,12,2,50,2,1,3,2,9,2,1,4,5,5,2002,1,0,"天津市",1,50,3,1,0,1,1,2,9,2,1,1,5,5,1,1
"114",1717,12010222,12,2,47,2,1,1,3,15,2,1,4,6,5,2002,1,0,"天津市",1,47,2,1,0,1,0,3,15,2,1,1,6,5,1,1
"115",1719,12010222,12,1,50,2,1,1,2,9,3,1,4,5,5,2002,1,0,"天津市",0,50,3,1,0,1,0,2,9,3,1,1,5,5,1,1
"116",1693,12010211,12,1,48,2,1,1,2,10,2,1,4,6,6,2002,1,0,"天津市",0,48,2,1,0,1,0,2,10,2,1,1,6,6,1,1
"117",1703,12010212,12,1,45,2,1,1,2,9,2,1,4,6,6,2002,1,0,"天津市",0,45,2,1,0,1,0,2,9,2,1,1,6,6,1,1
"118",1699,12010212,12,1,62,2,1,1,4,15,2,1,11,6,4,2002,1,0,"天津市",0,62,3,1,0,1,0,3,15,2,0,1,6,4,1,0
"119",1706,12010212,12,2,30,2,1,2,3,11,2,1,4,6,4,2002,1,0,"天津市",1,30,2,1,0,1,0,3,11,2,1,1,6,4,1,0
"120",1701,12010212,12,2,21,2,1,2,4,13,4,0,4,6,5,2002,1,0,"天津市",1,21,1,0,0,1,0,3,13,4,1,0,6,5,1,1
"121",1698,12010212,12,1,30,2,3,1,5,15,2,1,4,4,4,2002,1,0,"天津市",0,30,2,1,0,0,0,4,15,2,1,1,4,4,0,0
