"","id","Proid","A1","A2","A3A","A4","SE1","SE1A","SE9","SE17","SE8","SE4","SE3","SE2","E1B","E1H","year","wave","province","time","female","age","corhort","marriage","socialLevel","hukouRural","race","edu","eduyear","party","incomeFam","job","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"2581",3742115,37,1,1,44,1,5,11,1,2,5,50000,10,6,6,5,2014,1,"山东省",1,0,44,2,1,5,1,1,3,11,0,50000,6,10,0,6,5,1,1
"2582",3742114,37,1,1,36,1,3,8,1,2,8,30000,8,10,5,5,2014,1,"山东省",1,0,36,2,1,8,1,1,2,8,0,30000,10,8,0,5,5,1,1
"2583",3742113,37,1,1,33,1,3,8,1,2,4,9,10,6,5,4,2014,1,"山东省",1,0,33,2,1,4,1,1,2,8,0,NA,6,10,0,5,4,1,0
"2584",3742110,37,1,1,42,1,6,15,3,2,6,40000,9,10,5,4,2014,1,"山东省",1,0,42,2,1,6,1,1,3,15,1,40000,10,9,1,5,4,1,0
"2585",3742109,37,2,1,81,1,0,0,1,2,6,5000,11,96,5,6,2014,1,"山东省",1,1,81,4,1,6,1,1,0,0,0,5000,96,11,0,5,6,1,1
"2586",3742108,37,2,2,29,1,7,13,2,2,5,2e+05,8,3,5,5,2014,1,"山东省",1,1,29,1,1,5,0,1,4,13,0,2e+05,3,8,0,5,5,1,1
"2587",3742106,37,2,1,54,1,3,8,1,2,5,10000,8,1,6,3,2014,1,"山东省",1,1,54,3,1,5,1,1,2,8,0,10000,1,8,0,6,3,1,0
"2588",3742105,37,2,1,58,1,3,7,1,2,5,20000,11,1,6,6,2014,1,"山东省",1,1,58,3,1,5,1,1,2,7,0,20000,1,11,0,6,6,1,1
"2589",3742104,37,2,1,52,1,0,0,1,2,99,20000,11,1,9,8,2014,1,"山东省",1,1,52,3,1,NA,1,1,0,0,0,20000,1,11,0,9,8,NA,NA
"2590",3742103,37,1,1,27,1,5,9,1,2,10,50000,2,5,5,4,2014,1,"山东省",1,0,27,1,1,10,1,1,3,9,0,50000,5,2,1,5,4,1,0
"2591",3742102,37,1,1,37,1,3,8,1,2,7,9,8,10,6,3,2014,1,"山东省",1,0,37,2,1,7,1,1,2,8,0,NA,10,8,0,6,3,1,0
"2592",3742101,37,1,1,24,1,4,10,1,2,6,2e+05,8,10,4,2,2014,1,"山东省",1,0,24,1,1,6,1,1,2,10,0,2e+05,10,8,0,4,2,0,0
"2593",3741214,37,2,1,24,1,7,17,1,1,5,60000,6,10,6,5,2014,1,"山东省",1,1,24,1,0,5,1,1,4,17,0,60000,10,6,1,6,5,1,1
"2594",3741213,37,2,1,49,1,3,8,1,2,3,8,11,3,5,4,2014,1,"山东省",1,1,49,2,1,3,1,1,2,8,0,NA,3,11,0,5,4,1,0
"2595",3741212,37,1,2,41,1,7,13,1,2,5,60000,6,10,6,5,2014,1,"山东省",1,0,41,2,1,5,0,1,4,13,0,60000,10,6,1,6,5,1,1
"2596",3741209,37,1,1,42,1,7,15,1,2,6,2e+05,10,3,6,2,2014,1,"山东省",1,0,42,2,1,6,1,1,4,15,0,2e+05,3,10,0,6,2,1,0
"2597",3741208,37,1,2,31,1,6,14,3,2,5,1e+05,6,8,6,5,2014,1,"山东省",1,0,31,2,1,5,0,1,3,14,1,1e+05,8,6,1,6,5,1,1
"2598",3741207,37,1,2,49,1,7,15,9,2,6,9,10,10,4,3,2014,1,"山东省",1,0,49,2,1,6,0,1,4,15,NA,NA,10,10,0,4,3,0,0
"2599",3741205,37,2,2,37,1,5,10,1,2,5,30000,11,96,5,5,2014,1,"山东省",1,1,37,2,1,5,0,1,3,10,0,30000,96,11,0,5,5,1,1
"2600",3741204,37,2,1,47,1,3,8,1,2,5,90000,8,3,6,5,2014,1,"山东省",1,1,47,2,1,5,1,1,2,8,0,90000,3,8,0,6,5,1,1
"2601",3741203,37,2,1,26,1,7,13,1,2,5,10000,6,1,6,4,2014,1,"山东省",1,1,26,1,1,5,1,1,4,13,0,10000,1,6,1,6,4,1,0
"2602",3741202,37,1,1,28,1,5,13,1,2,5,1e+05,8,10,5,4,2014,1,"山东省",1,0,28,1,1,5,1,1,3,13,0,1e+05,10,8,0,5,4,1,0
"2603",3741201,37,1,1,24,1,2,8,1,2,5,2e+05,8,3,1,1,2014,1,"山东省",1,0,24,1,1,5,1,1,1,8,0,2e+05,3,8,0,1,1,0,0
"2604",3741115,37,2,2,50,1,2,7,1,2,5,8,8,3,6,6,2014,1,"山东省",1,1,50,3,1,5,0,1,1,7,0,NA,3,8,0,6,6,1,1
"2605",3741114,37,2,2,42,1,3,8,1,2,6,1e+05,8,3,4,4,2014,1,"山东省",1,1,42,2,1,6,0,1,2,8,0,1e+05,3,8,0,4,4,0,0
"2606",3741113,37,2,2,35,1,3,8,1,2,2,20000,11,92,5,4,2014,1,"山东省",1,1,35,2,1,2,0,1,2,8,0,20000,92,11,0,5,4,1,0
"2607",3741112,37,2,2,18,1,5,12,2,1,5,8,11,96,6,4,2014,1,"山东省",1,1,18,1,0,5,0,1,3,12,0,NA,96,11,0,6,4,1,0
"2608",3741110,37,2,1,33,1,5,10,1,2,9,40000,1,7,6,5,2014,1,"山东省",1,1,33,2,1,9,1,1,3,10,0,40000,7,1,1,6,5,1,1
