"","id","province","A1","A2","A4A","A5","SE1","SE1A","SE11","SE13","SE22","SE5","E4B","E4H","year","wave","time","female","age","corhort","marriage","socialLevel","hukouRural","race","edu","eduyear","party","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"2286",2286,"江苏省",1,1,88,1,3,5,6,1,2,"10",6,6,2019,1,1,0,88,4,1,6,1,1,1,5,0,"10","0",6,6,1,1
"2287",2287,"江苏省",2,2,20,1,7,12,5,2,1,NA,5,3,2019,1,1,1,20,1,0,5,0,1,3,12,0,NA,NA,5,3,1,0
"2288",2288,"江苏省",1,2,43,1,7,12,7,1,2,"8",6,6,2019,1,1,0,43,2,1,7,0,1,3,12,0,"8","0",6,6,1,1
"2289",2289,"江苏省",2,3,67,1,9,15,7,1,2,"2",6,5,2019,1,1,1,67,3,1,7,0,1,4,15,0,"2","1",6,5,1,1
"2290",2290,"江苏省",1,3,45,1,3,6,6,1,2,NA,5,5,2019,1,1,0,45,2,1,6,0,1,1,6,0,NA,NA,5,5,1,1
"2291",2291,"江苏省",1,1,72,1,2,4,4,1,2,NA,6,3,2019,1,1,0,72,4,1,4,1,1,0,4,0,NA,NA,6,3,1,0
"2292",2292,"江苏省",1,3,54,1,7,12,3,1,2,"11",6,6,2019,1,1,0,54,3,1,3,0,1,3,12,0,"11","0",6,6,1,1
"2293",2293,"江苏省",2,3,47,1,7,12,6,1,2,"8",6,3,2019,1,1,1,47,2,1,6,0,1,3,12,0,"8","0",6,3,1,0
"2294",2294,"江苏省",1,1,37,1,6,9,4,1,2,"2",5,4,2019,1,1,0,37,2,1,4,1,1,2,9,0,"2","1",5,4,1,0
"2295",2295,"江苏省",2,4,72,1,2,2,5,1,2,"9",6,6,2019,1,1,1,72,4,1,5,1,1,0,2,0,"9","1",6,6,1,1
"2296",2296,"江苏省",2,1,25,1,9,16,5,2,2,"10",6,6,2019,1,1,1,25,1,1,5,1,1,4,16,0,"10","0",6,6,1,1
"2297",2297,"江苏省",1,1,46,1,5,8,6,1,2,"2",6,6,2019,1,1,0,46,2,1,6,1,1,2,8,0,"2","1",6,6,1,1
"2298",2298,"江苏省",2,1,32,1,4,8,5,1,2,"8",5,4,2019,1,1,1,32,2,1,5,1,1,1,8,0,"8","0",5,4,1,0
"2299",2299,"江苏省",2,1,64,1,0,7,2,1,4,NA,6,6,2019,1,1,1,64,3,0,2,1,1,0,7,0,NA,NA,6,6,1,1
"2300",2300,"江苏省",2,2,27,NA,10,19,6,3,2,"1",6,5,2019,1,1,1,27,1,1,6,0,NA,4,19,1,"1","1",6,5,1,1
"2301",2301,"江苏省",1,3,37,1,9,16,7,1,2,"6",6,3,2019,1,1,0,37,2,1,7,0,1,4,16,0,"6","1",6,3,1,0
"2302",2302,"江苏省",2,1,46,1,3,6,3,1,2,"11",5,5,2019,1,1,1,46,2,1,3,1,1,1,6,0,"11","0",5,5,1,1
"2303",2303,"江苏省",2,1,20,1,7,14,4,2,1,"11",6,5,2019,1,1,1,20,1,0,4,1,1,3,14,0,"11","0",6,5,1,1
"2304",2304,"江苏省",1,1,55,1,5,9,10,2,1,"1",6,5,2019,1,1,0,55,3,0,10,1,1,2,9,0,"1","1",6,5,1,1
"2305",2305,"江苏省",1,1,56,1,5,9,7,2,2,"8",6,6,2019,1,1,0,56,3,1,7,1,1,2,9,0,"8","0",6,6,1,1
"2306",2306,"江苏省",1,1,31,1,6,10,6,2,2,"9",6,5,2019,1,1,0,31,2,1,6,1,1,2,10,0,"9","1",6,5,1,1
"2307",2307,"江苏省",1,1,29,1,9,16,8,2,2,"2",6,6,2019,1,1,0,29,1,1,8,1,1,4,16,0,"2","1",6,6,1,1
"2308",2308,"江苏省",1,1,75,1,0,7,3,1,2,"11",5,5,2019,1,1,0,75,4,1,3,1,1,0,7,0,"11","0",5,5,1,1
"2309",2309,"江苏省",1,1,65,1,3,6,2,1,2,"11",5,5,2019,1,1,0,65,3,1,2,1,1,1,6,0,"11","0",5,5,1,1
"2310",2310,"江苏省",2,2,59,1,4,8,6,1,2,"8",6,6,2019,1,1,1,59,3,1,6,0,1,1,8,0,"8","0",6,6,1,1
"2311",2311,"江苏省",2,2,42,1,7,12,6,1,2,"8",6,6,2019,1,1,1,42,2,1,6,0,1,3,12,0,"8","0",6,6,1,1
"2312",2312,"江苏省",2,2,39,1,7,12,7,1,2,"8",6,6,2019,1,1,1,39,2,1,7,0,1,3,12,0,"8","0",6,6,1,1
