"","id","PSU","gender","a1","a4","a4a","a5","a8","c15_a","c15b","c15_c","k7","k12","k12a","k13","k3","k5","k26b_a","c6a","c6g","year","wave","time","age","corhort","female","marriage","edu","eduyear","hukouRural","race","party","party_parter","incomeFam","job","occ","occR","trust_gover","trust_local","trust_goverR","trust_localR"
"1",1,131,1,1975,6,3,1,9,0,0,0,1,1,97,8,1,0,5,2,3,2008,2,0,33,2,0,1,2,6,1,NA,0,0,NA,1,0,0,3,2,1,0
"2",2,131,1,1948,6,2,1,9,0,0,0,1,1,97,8,1,0,5,1,4,2008,2,0,60,3,0,1,1,6,1,NA,0,0,NA,1,0,0,4,1,1,0
"3",3,131,1,1961,6,3,1,9,0,1,0,1,1,97,8,1,0,5,1,3,2008,2,0,47,2,0,1,2,6,1,NA,0,0,NA,1,0,0,4,2,1,0
"4",4,131,1,1978,6,2,1,9,0,0,0,1,1,97,10000,1,0,5,1,1,2008,2,0,30,2,0,1,1,6,1,NA,0,0,10000,1,0,0,4,4,1,1
"5",5,131,1,1957,7,3,1,1,0,0,0,1,1,97,8,1,0,5,2,2,2008,2,0,51,3,0,1,2,7,1,1,0,0,NA,1,0,0,3,3,1,1
"6",6,131,2,1968,8,3,1,1,0,0,0,1,1,97,30000,1,0,5,3,4,2008,2,0,40,2,1,1,2,8,1,1,0,0,30000,1,0,0,2,1,0,0
"7",7,131,2,1976,8,3,1,1,0,0,0,1,1,97,8,1,0,5,2,2,2008,2,0,32,2,1,1,2,8,1,1,0,0,NA,1,0,0,3,3,1,1
"8",8,131,2,1973,1,2,1,1,0,0,0,1,5,40000,97,1,0,5,8,8,2008,2,0,35,2,1,1,1,1,1,1,0,0,40000,1,0,0,NA,NA,NA,NA
"9",9,131,2,1967,8,3,1,9,0,0,0,1,1,97,4000,1,0,5,8,8,2008,2,0,41,2,1,1,2,8,1,NA,0,0,4000,1,0,0,NA,NA,NA,NA
"10",10,131,2,1985,8,3,1,9,0,0,0,1,1,97,8,1,0,5,3,3,2008,2,0,23,1,1,1,2,8,1,NA,0,0,NA,1,0,0,2,2,0,0
"11",11,131,1,1965,9,3,1,9,0,0,0,1,1,97,8000,1,0,5,1,2,2008,2,0,43,2,0,1,2,9,1,NA,0,0,8000,1,0,0,4,3,1,1
"12",12,131,2,1969,8,3,1,1,0,3,0,1,5,8,97,1,0,5,2,9,2008,2,0,39,2,1,1,2,8,1,1,0,0,NA,1,0,0,3,NA,1,NA
"13",13,131,2,1967,6,2,1,1,0,0,0,1,1,97,8,1,0,5,1,1,2008,2,0,41,2,1,1,1,6,1,1,0,0,NA,1,0,0,4,4,1,1
"14",14,131,1,1982,9,3,1,9,0,1,0,1,1,97,20000,1,0,5,8,3,2008,2,0,26,1,0,1,2,9,1,NA,0,0,20000,1,0,0,NA,2,NA,0
"15",15,131,1,1953,6,3,1,9,0,0,0,1,1,97,8,1,0,5,1,3,2008,2,0,55,3,0,1,2,6,1,NA,0,0,NA,1,0,0,4,2,1,0
"16",16,131,2,1972,6,2,1,9,0,0,0,1,1,97,7000,1,0,5,1,2,2008,2,0,36,2,1,1,1,6,1,NA,0,0,7000,1,0,0,4,3,1,1
"17",17,131,2,1978,6,2,1,1,0,0,0,1,1,97,8,1,0,5,1,8,2008,2,0,30,2,1,1,1,6,1,1,0,0,NA,1,0,0,4,NA,1,NA
"18",18,131,1,1948,5,2,1,9,0,0,0,1,1,97,9,0,0,5,1,1,2008,2,0,60,3,0,1,1,5,1,NA,0,0,NA,0,0,0,4,4,1,1
"19",19,131,2,1984,9,3,1,9,9,3,9,1,5,20000,97,3,8,5,1,3,2008,2,0,24,1,1,1,2,9,1,NA,NA,0,20000,3,8,0,4,2,1,0
"20",20,131,2,1979,9,3,1,9,0,0,0,1,5,20000,97,0,0,5,2,3,2008,2,0,29,1,1,1,2,9,1,NA,0,0,20000,0,0,0,3,2,1,0
"21",21,131,1,1946,12,5,5,9,0,3,0,1,1,97,30000,10,6,5,1,2,2008,2,0,62,3,0,1,3,12,0,NA,0,0,30000,10,6,1,4,3,1,1
"22",22,131,1,1959,12,4,1,9,0,0,0,1,5,20000,97,3,8,5,2,3,2008,2,0,49,2,0,1,3,12,1,NA,0,0,20000,3,8,0,3,2,1,0
"23",23,131,1,1971,8,3,1,1,0,0,0,1,5,10000,97,3,8,5,3,8,2008,2,0,37,2,0,1,2,8,1,1,0,0,10000,3,8,0,2,NA,0,NA
"24",24,131,1,1978,11,5,1,9,0,0,0,1,5,40000,97,3,8,5,1,3,2008,2,0,30,2,0,1,3,11,1,NA,0,0,40000,3,8,0,4,2,1,0
"25",25,131,1,1961,9,4,1,9,1,1,0,1,1,97,10000,1,0,5,1,2,2008,2,0,47,2,0,1,3,9,1,NA,1,0,10000,1,0,0,4,3,1,1
"26",26,131,1,1980,9,3,1,9,0,3,0,1,5,30000,97,3,8,5,1,8,2008,2,0,28,1,0,1,2,9,1,NA,0,0,30000,3,8,0,4,NA,1,NA
"27",27,131,2,1963,4,1,1,9,0,0,0,1,1,97,10000,3,8,5,1,1,2008,2,0,45,2,1,1,0,4,1,NA,0,0,10000,3,8,0,4,4,1,1
"28",28,131,2,1968,8,3,1,1,0,0,0,1,5,9,97,3,8,5,2,2,2008,2,0,40,2,1,1,2,8,1,1,0,0,NA,3,8,0,3,3,1,1
"29",29,131,1,1966,8,3,1,1,0,0,0,1,5,9,97,1,0,5,2,8,2008,2,0,42,2,0,1,2,8,1,1,0,0,NA,1,0,0,3,NA,1,NA
"30",30,131,1,1972,9,3,1,1,0,0,0,1,5,20000,97,1,0,5,1,4,2008,2,0,36,2,0,1,2,9,1,1,0,0,20000,1,0,0,4,1,1,0
"31",31,131,2,1985,11,4,1,9,0,1,0,1,1,97,2000,0,0,5,2,2,2008,2,0,23,1,1,1,3,11,1,NA,0,0,2000,0,0,0,3,3,1,1
"32",32,131,1,1979,8,2,1,9,0,0,0,1,1,97,8,1,0,5,2,2,2008,2,0,29,1,0,1,1,8,1,NA,0,0,NA,1,0,0,3,3,1,1
"33",33,131,1,1958,5,2,1,9,0,0,0,1,1,97,10000,1,0,5,1,1,2008,2,0,50,3,0,1,1,5,1,NA,0,0,10000,1,0,0,4,4,1,1
"34",34,131,1,1949,6,2,1,9,1,1,0,1,1,97,10000,3,1,5,2,3,2008,2,0,59,3,0,1,1,6,1,NA,1,0,10000,3,1,1,3,2,1,0
"35",35,131,1,1987,9,3,1,9,0,0,0,5,1,97,8,1,0,7,2,3,2008,2,0,21,1,0,0,2,9,1,NA,0,NA,NA,1,0,0,3,2,1,0
"36",36,131,2,1953,0,1,1,9,1,0,0,1,1,97,5000,1,0,5,1,1,2008,2,0,55,3,1,1,0,0,1,NA,1,0,5000,1,0,0,4,4,1,1
"37",37,131,2,1988,10,4,1,9,0,1,0,5,1,97,4000,2,5,7,1,1,2008,2,0,20,1,1,0,3,10,1,NA,0,NA,4000,2,5,0,4,4,1,1
"38",38,131,2,1957,0,1,1,9,0,0,0,1,1,97,10000,1,0,5,1,1,2008,2,0,51,3,1,1,0,0,1,NA,0,0,10000,1,0,0,4,4,1,1
"39",39,131,2,1983,5,2,1,1,0,0,0,1,1,97,10000,5,2,5,1,1,2008,2,0,25,1,1,1,1,5,1,1,0,0,10000,5,2,1,4,4,1,1
"40",40,131,1,1966,7,2,1,9,0,0,0,1,1,97,3000,1,0,5,1,3,2008,2,0,42,2,0,1,1,7,1,NA,0,0,3000,1,0,0,4,2,1,0
"41",41,131,1,1957,10,3,1,9,0,1,0,1,1,97,8000,3,8,5,1,2,2008,2,0,51,3,0,1,2,10,1,NA,0,0,8000,3,8,0,4,3,1,1
"42",42,131,1,1974,9,3,1,9,0,0,0,1,5,9,97,77,8,5,2,2,2008,2,0,34,2,0,1,2,9,1,NA,0,0,NA,77,8,0,3,3,1,1
"43",43,131,1,1976,9,3,1,9,0,1,0,1,1,97,10000,5,8,5,2,2,2008,2,0,32,2,0,1,2,9,1,NA,0,0,10000,5,8,0,3,3,1,1
"44",44,131,1,1974,9,3,1,9,0,0,0,1,1,97,9,3,8,5,1,3,2008,2,0,34,2,0,1,2,9,1,NA,0,0,NA,3,8,0,4,2,1,0
"45",45,131,2,1958,0,1,1,9,0,0,0,1,1,97,1000,1,0,5,8,2,2008,2,0,50,3,1,1,0,0,1,NA,0,0,1000,1,0,0,NA,3,NA,1
"46",46,131,1,1978,8,3,1,9,0,3,0,1,5,10000,97,9,8,5,2,3,2008,2,0,30,2,0,1,2,8,1,NA,0,0,10000,9,8,0,3,2,1,0
"47",47,131,2,1971,10,5,1,1,0,0,0,1,1,97,7000,1,0,5,1,2,2008,2,0,37,2,1,1,3,10,1,1,0,0,7000,1,0,0,4,3,1,1
"48",48,131,2,1970,8,3,1,9,0,0,0,1,5,9,97,1,0,5,2,2,2008,2,0,38,2,1,1,2,8,1,NA,0,0,NA,1,0,0,3,3,1,1
"49",49,131,1,1949,6,2,1,9,0,0,0,5,1,97,2000,1,0,7,1,2,2008,2,0,59,3,0,0,1,6,1,NA,0,NA,2000,1,0,0,4,3,1,1
"50",50,131,2,1954,0,1,1,1,0,0,0,1,5,6000,97,0,0,5,2,2,2008,2,0,54,3,1,1,0,0,1,1,0,0,6000,0,0,0,3,3,1,1
"51",51,131,1,1968,9,3,1,9,0,1,0,1,1,97,10000,1,0,5,8,2,2008,2,0,40,2,0,1,2,9,1,NA,0,0,10000,1,0,0,NA,3,NA,1
"52",52,131,1,1957,9,4,1,9,0,1,0,1,5,10000,97,0,0,5,1,1,2008,2,0,51,3,0,1,3,9,1,NA,0,0,10000,0,0,0,4,4,1,1
"53",53,131,1,1957,7,3,1,1,0,3,0,1,5,10000,97,4,8,5,1,1,2008,2,0,51,3,0,1,2,7,1,1,0,0,10000,4,8,0,4,4,1,1
"54",54,131,2,1958,0,1,1,9,0,0,0,1,1,97,8,1,0,5,1,2,2008,2,0,50,3,1,1,0,0,1,NA,0,0,NA,1,0,0,4,3,1,1
"55",55,131,2,1989,11,4,1,9,0,1,0,5,1,97,8,5,8,7,1,2,2008,2,0,19,1,1,0,3,11,1,NA,0,NA,NA,5,8,0,4,3,1,1
"56",56,131,1,1963,0,1,1,1,0,0,0,1,1,97,4000,1,0,5,1,2,2008,2,0,45,2,0,1,0,0,1,1,0,0,4000,1,0,0,4,3,1,1
"57",57,131,2,1982,9,3,5,1,0,0,0,1,5,3000,97,0,0,5,2,3,2008,2,0,26,1,1,1,2,9,0,1,0,0,3000,0,0,0,3,2,1,0
"58",58,132,1,1957,0,1,1,1,0,0,0,1,5,2000,97,1,0,5,2,2,2008,2,0,51,3,0,1,0,0,1,1,0,0,2000,1,0,0,3,3,1,1
"59",59,132,2,1950,0,1,1,1,0,0,0,1,1,97,8,1,0,5,1,1,2008,2,0,58,3,1,1,0,0,1,1,0,0,NA,1,0,0,4,4,1,1
"60",60,132,1,1985,9,3,1,1,1,3,0,5,5,12000,97,10,10,7,2,2,2008,2,0,23,1,0,0,2,9,1,1,1,NA,12000,10,10,0,3,3,1,1
"61",61,132,2,1987,9,3,1,1,0,0,0,5,5,8,97,0,0,7,3,3,2008,2,0,21,1,1,0,2,9,1,1,0,NA,NA,0,0,0,2,2,0,0
"62",62,132,2,1975,9,3,1,9,0,1,0,1,5,20000,97,1,0,5,3,3,2008,2,0,33,2,1,1,2,9,1,NA,0,0,20000,1,0,0,2,2,0,0
"63",63,132,2,1981,12,5,1,1,0,0,0,1,5,10000,97,2,8,5,2,2,2008,2,0,27,1,1,1,3,12,1,1,0,0,10000,2,8,0,3,3,1,1
"64",64,132,2,1989,9,3,1,1,0,0,0,5,1,97,8,0,0,9,8,8,2008,2,0,19,1,1,0,2,9,1,1,0,NA,NA,0,0,0,NA,NA,NA,NA
"65",65,132,2,1975,9,3,1,1,0,3,0,1,5,10000,97,1,0,5,1,2,2008,2,0,33,2,1,1,2,9,1,1,0,0,10000,1,0,0,4,3,1,1
"66",66,132,1,1979,9,3,1,1,0,0,0,1,5,10000,97,4,8,5,1,1,2008,2,0,29,1,0,1,2,9,1,1,0,0,10000,4,8,0,4,4,1,1
"67",67,132,1,1988,9,3,1,1,0,1,0,5,5,20000,97,5,10,7,1,2,2008,2,0,20,1,0,0,2,9,1,1,0,NA,20000,5,10,0,4,3,1,1
"68",68,132,1,1987,9,3,1,1,0,9,0,5,5,8,97,10,8,7,2,2,2008,2,0,21,1,0,0,2,9,1,1,0,NA,NA,10,8,0,3,3,1,1
"69",69,132,2,1967,6,2,1,9,0,0,0,1,1,97,25000,1,0,1,2,2,2008,2,0,41,2,1,1,1,6,1,NA,0,1,25000,1,0,0,3,3,1,1
"70",70,132,2,1979,11,3,1,9,0,3,0,1,1,97,8,1,0,5,2,9,2008,2,0,29,1,1,1,2,11,1,NA,0,0,NA,1,0,0,3,NA,1,NA
"71",71,132,2,1962,5,2,1,1,0,0,0,1,1,97,2000,1,0,5,1,2,2008,2,0,46,2,1,1,1,5,1,1,0,0,2000,1,0,0,4,3,1,1
"72",72,132,2,1972,6,2,1,1,0,0,0,1,5,8,97,1,0,5,2,2,2008,2,0,36,2,1,1,1,6,1,1,0,0,NA,1,0,0,3,3,1,1
"73",73,132,2,1976,9,3,1,1,0,0,0,1,5,25000,97,5,8,5,2,2,2008,2,0,32,2,1,1,2,9,1,1,0,0,25000,5,8,0,3,3,1,1
"74",74,132,2,1982,12,5,1,9,0,3,0,1,1,97,10000,1,0,5,1,1,2008,2,0,26,1,1,1,3,12,1,NA,0,0,10000,1,0,0,4,4,1,1
"75",75,132,1,1958,12,4,1,1,0,3,0,1,1,97,10000,1,0,5,1,1,2008,2,0,50,3,0,1,3,12,1,1,0,0,10000,1,0,0,4,4,1,1
"76",76,132,1,1960,7,2,1,1,0,1,0,1,1,97,30000,1,0,7,2,3,2008,2,0,48,2,0,1,1,7,1,1,0,NA,30000,1,0,0,3,2,1,0
"77",77,132,2,1955,10,4,1,1,0,3,9,1,1,97,10000,1,0,5,2,2,2008,2,0,53,3,1,1,3,10,1,1,0,0,10000,1,0,0,3,3,1,1
"78",78,132,1,1958,9,4,1,1,1,3,0,1,1,97,20000,1,0,5,1,1,2008,2,0,50,3,0,1,3,9,1,1,1,0,20000,1,0,0,4,4,1,1
"79",79,132,2,1985,15,7,5,1,0,3,0,5,5,8,97,77,6,7,3,3,2008,2,0,23,1,1,0,4,15,0,1,0,NA,NA,77,6,1,2,2,0,0
"80",80,132,2,1950,0,1,1,1,0,0,0,1,1,97,6000,1,0,5,1,2,2008,2,0,58,3,1,1,0,0,1,1,0,0,6000,1,0,0,4,3,1,1
"81",81,132,2,1955,8,3,1,1,0,3,0,1,1,97,50000,1,0,7,1,3,2008,2,0,53,3,1,1,2,8,1,1,0,NA,50000,1,0,0,4,2,1,0
"82",82,132,2,1966,6,2,1,1,0,0,0,1,1,97,10000,1,0,1,1,1,2008,2,0,42,2,1,1,1,6,1,1,0,1,10000,1,0,0,4,4,1,1
"83",83,132,2,1949,6,2,1,1,0,0,0,1,1,97,2000,0,0,5,1,1,2008,2,0,59,3,1,1,1,6,1,1,0,0,2000,0,0,0,4,4,1,1
"84",84,132,1,1939,4,1,5,1,0,0,0,1,5,15000,97,5,2,5,1,8,2008,2,0,69,3,0,1,0,4,0,1,0,0,15000,5,2,1,4,NA,1,NA
"85",85,132,2,1955,10,4,1,1,0,3,0,1,5,640,97,2,97,5,1,2,2008,2,0,53,3,1,1,3,10,1,1,0,0,640,2,97,0,4,3,1,1
"86",86,132,1,1957,9,3,5,1,0,3,9,1,5,25000,97,5,10,5,2,2,2008,2,0,51,3,0,1,2,9,0,1,0,0,25000,5,10,0,3,3,1,1
"87",87,132,1,1971,9,3,1,1,0,0,0,1,1,97,8,1,0,5,8,1,2008,2,0,37,2,0,1,2,9,1,1,0,0,NA,1,0,0,NA,4,NA,1
"88",88,132,2,1950,6,2,1,1,1,0,0,1,1,97,8000,1,0,5,1,3,2008,2,0,58,3,1,1,1,6,1,1,1,0,8000,1,0,0,4,2,1,0
"89",89,132,2,1961,6,2,1,1,0,0,0,1,5,10000,97,1,0,5,2,2,2008,2,0,47,2,1,1,1,6,1,1,0,0,10000,1,0,0,3,3,1,1
"90",90,132,2,1958,0,1,1,1,0,0,0,1,5,6000,97,0,0,1,1,1,2008,2,0,50,3,1,1,0,0,1,1,0,1,6000,0,0,0,4,4,1,1
"91",91,132,2,1951,0,1,1,9,0,0,0,1,1,97,8,0,0,5,1,2,2008,2,0,57,3,1,1,0,0,1,NA,0,0,NA,0,0,0,4,3,1,1
"92",92,132,2,1948,2,1,5,1,0,0,0,1,5,20000,97,0,0,5,2,2,2008,2,0,60,3,1,1,0,2,0,1,0,0,20000,0,0,0,3,3,1,1
"93",93,132,2,1951,0,1,1,9,0,0,0,1,1,97,8,1,0,5,1,2,2008,2,0,57,3,1,1,0,0,1,NA,0,0,NA,1,0,0,4,3,1,1
"94",94,132,1,1951,9,3,1,1,0,0,0,1,1,97,9,0,0,5,1,1,2008,2,0,57,3,0,1,2,9,1,1,0,0,NA,0,0,0,4,4,1,1
"95",95,132,1,1943,9,3,1,1,1,0,0,1,1,97,6000,1,0,5,1,1,2008,2,0,65,3,0,1,2,9,1,1,1,0,6000,1,0,0,4,4,1,1
"96",96,132,1,1944,9,3,5,1,1,1,0,1,5,10000,97,5,2,5,1,1,2008,2,0,64,3,0,1,2,9,0,1,1,0,10000,5,2,1,4,4,1,1
"97",97,132,2,1944,0,1,1,9,0,0,0,1,5,10000,97,0,0,5,1,2,2008,2,0,64,3,1,1,0,0,1,NA,0,0,10000,0,0,0,4,3,1,1
"98",98,132,1,1941,7,3,1,9,1,0,0,1,1,97,2000,7,9,5,1,1,2008,2,0,67,3,0,1,2,7,1,NA,1,0,2000,7,9,1,4,4,1,1
"99",99,132,2,1959,9,4,1,9,0,0,0,1,1,97,8,1,0,5,1,2,2008,2,0,49,2,1,1,3,9,1,NA,0,0,NA,1,0,0,4,3,1,1
"100",100,132,2,1989,9,3,1,1,0,0,0,5,1,97,15000,0,0,7,1,2,2008,2,0,19,1,1,0,2,9,1,1,0,NA,15000,0,0,0,4,3,1,1
"101",101,132,2,1958,0,1,1,9,0,0,0,1,1,97,10000,1,0,5,2,3,2008,2,0,50,3,1,1,0,0,1,NA,0,0,10000,1,0,0,3,2,1,0
"102",102,132,1,1965,7,3,1,1,0,0,0,1,1,97,20000,1,0,5,2,2,2008,2,0,43,2,0,1,2,7,1,1,0,0,20000,1,0,0,3,3,1,1
"103",103,132,2,1952,5,1,1,1,0,0,0,4,1,97,3000,0,0,5,1,2,2008,2,0,56,3,1,0,0,5,1,1,0,0,3000,0,0,0,4,3,1,1
"104",104,132,2,1949,6,2,1,1,0,0,0,1,1,97,4000,1,0,5,1,2,2008,2,0,59,3,1,1,1,6,1,1,0,0,4000,1,0,0,4,3,1,1
"105",105,132,2,1938,4,1,1,1,9,9,0,1,5,7600,97,1,0,1,1,1,2008,2,0,70,4,1,1,0,4,1,1,NA,1,7600,1,0,0,4,4,1,1
"106",106,132,2,1947,6,2,1,1,1,1,0,1,1,97,8,1,0,5,2,2,2008,2,0,61,3,1,1,1,6,1,1,1,0,NA,1,0,0,3,3,1,1
"107",107,132,2,1950,99,1,1,1,0,0,0,1,1,97,8,0,0,5,1,1,2008,2,0,58,3,1,1,0,99,1,1,0,0,NA,0,0,0,4,4,1,1
"108",108,132,2,1963,2,1,1,1,0,0,0,1,1,97,10000,0,0,5,1,1,2008,2,0,45,2,1,1,0,2,1,1,0,0,10000,0,0,0,4,4,1,1
"109",109,132,1,1978,6,2,1,1,0,0,0,1,5,10000,97,1,0,5,1,1,2008,2,0,30,2,0,1,1,6,1,1,0,0,10000,1,0,0,4,4,1,1
"110",110,132,1,1978,9,3,1,1,0,0,0,1,5,10000,97,1,0,5,1,2,2008,2,0,30,2,0,1,2,9,1,1,0,0,10000,1,0,0,4,3,1,1
"111",111,132,1,1950,1,1,1,1,0,0,0,1,1,97,6000,1,0,5,2,2,2008,2,0,58,3,0,1,0,1,1,1,0,0,6000,1,0,0,3,3,1,1
"112",112,132,1,1961,9,4,1,1,0,3,0,1,1,97,30000,1,0,5,1,1,2008,2,0,47,2,0,1,3,9,1,1,0,0,30000,1,0,0,4,4,1,1
"113",113,132,2,1965,0,1,1,1,0,0,0,1,1,97,8,1,0,5,1,2,2008,2,0,43,2,1,1,0,0,1,1,0,0,NA,1,0,0,4,3,1,1
"114",114,132,1,1985,12,4,1,1,0,0,0,5,1,97,8,0,0,7,8,2,2008,2,0,23,1,0,0,3,12,1,1,0,NA,NA,0,0,0,NA,3,NA,1
"115",115,132,2,1965,7,2,1,1,0,3,0,1,1,97,20000,1,0,5,1,2,2008,2,0,43,2,1,1,1,7,1,1,0,0,20000,1,0,0,4,3,1,1
"116",116,132,2,1983,9,3,1,1,0,0,0,1,1,97,8000,1,0,5,1,1,2008,2,0,25,1,1,1,2,9,1,1,0,0,8000,1,0,0,4,4,1,1
"117",117,132,2,1957,2,1,1,1,0,0,0,1,1,97,9,1,0,9,2,2,2008,2,0,51,3,1,1,0,2,1,1,0,NA,NA,1,0,0,3,3,1,1
"118",118,133,1,1952,5,1,1,9,0,0,0,1,5,12000,97,1,0,7,1,2,2008,2,0,56,3,0,1,0,5,1,NA,0,NA,12000,1,0,0,4,3,1,1
"119",119,133,1,1983,9,3,1,1,0,0,0,1,5,8,97,5,10,5,3,3,2008,2,0,25,1,0,1,2,9,1,1,0,0,NA,5,10,0,2,2,0,0
"120",120,133,1,1961,99,3,1,1,0,3,0,1,1,97,20000,1,0,5,1,8,2008,2,0,47,2,0,1,2,99,1,1,0,0,20000,1,0,0,4,NA,1,NA
"121",121,133,2,1962,10,4,1,1,1,3,0,1,1,97,15000,1,0,5,1,4,2008,2,0,46,2,1,1,3,10,1,1,1,0,15000,1,0,0,4,1,1,0
"122",122,133,2,1955,9,4,1,1,0,0,0,1,5,2000,97,5,10,5,2,1,2008,2,0,53,3,1,1,3,9,1,1,0,0,2000,5,10,0,3,4,1,1
"123",123,133,2,1965,9,3,1,1,0,1,0,1,1,97,8,1,0,5,3,2,2008,2,0,43,2,1,1,2,9,1,1,0,0,NA,1,0,0,2,3,0,1
"124",124,133,2,1947,5,2,1,9,0,0,0,1,1,97,8,0,0,5,1,3,2008,2,0,61,3,1,1,1,5,1,NA,0,0,NA,0,0,0,4,2,1,0
"125",125,133,1,1955,3,2,1,1,0,0,0,1,5,20000,97,1,0,5,1,3,2008,2,0,53,3,0,1,1,3,1,1,0,0,20000,1,0,0,4,2,1,0
"126",126,133,1,1979,17,7,5,9,0,1,0,1,5,10000,97,10,6,5,1,1,2008,2,0,29,1,0,1,4,17,0,NA,0,0,10000,10,6,1,4,4,1,1
"127",127,133,1,1976,99,3,1,9,0,0,0,1,5,9,97,4,10,7,1,2,2008,2,0,32,2,0,1,2,99,1,NA,0,NA,NA,4,10,0,4,3,1,1
"128",128,133,1,1984,9,3,1,9,0,0,0,5,5,9,97,5,10,7,1,3,2008,2,0,24,1,0,0,2,9,1,NA,0,NA,NA,5,10,0,4,2,1,0
"129",129,133,1,1960,7,3,1,9,0,3,0,1,5,9,97,3,8,7,1,2,2008,2,0,48,2,0,1,2,7,1,NA,0,NA,NA,3,8,0,4,3,1,1
"130",130,133,2,1966,12,4,1,1,0,1,0,1,5,70000,97,1,0,5,1,2,2008,2,0,42,2,1,1,3,12,1,1,0,0,70000,1,0,0,4,3,1,1
"131",131,133,1,1953,6,2,1,1,0,0,0,1,1,97,9,1,0,5,1,2,2008,2,0,55,3,0,1,1,6,1,1,0,0,NA,1,0,0,4,3,1,1
"132",132,133,1,1980,12,4,1,1,0,1,0,1,5,20000,97,10,10,5,1,2,2008,2,0,28,1,0,1,3,12,1,1,0,0,20000,10,10,0,4,3,1,1
"133",133,133,2,1960,9,4,5,1,0,0,0,1,5,8,97,10,6,1,1,2,2008,2,0,48,2,1,1,3,9,0,1,0,1,NA,10,6,1,4,3,1,1
"134",134,133,2,1956,6,2,5,9,0,0,0,1,5,20000,97,77,6,5,1,1,2008,2,0,52,3,1,1,1,6,0,NA,0,0,20000,77,6,1,4,4,1,1
"135",135,133,2,1967,15,6,5,1,0,0,0,1,5,25000,97,77,6,1,1,1,2008,2,0,41,2,1,1,4,15,0,1,0,1,25000,77,6,1,4,4,1,1
"136",136,133,1,1967,15,7,5,9,1,3,0,1,5,30000,97,77,6,5,1,2,2008,2,0,41,2,0,1,4,15,0,NA,1,0,30000,77,6,1,4,3,1,1
"137",137,133,1,1938,15,6,5,9,1,1,0,1,5,9,97,77,6,1,1,2,2008,2,0,70,4,0,1,4,15,0,NA,1,1,NA,77,6,1,4,3,1,1
"138",138,133,1,1960,11,4,5,1,0,0,0,1,5,20000,97,5,1,5,1,2,2008,2,0,48,2,0,1,3,11,0,1,0,0,20000,5,1,1,4,3,1,1
"139",139,133,2,1948,5,2,5,9,0,0,0,4,5,8,97,1,0,5,1,2,2008,2,0,60,3,1,0,1,5,0,NA,0,0,NA,1,0,0,4,3,1,1
"140",140,133,2,1971,12,4,5,1,0,0,0,1,5,8,97,10,10,5,2,2,2008,2,0,37,2,1,1,3,12,0,1,0,0,NA,10,10,0,3,3,1,1
"141",141,133,2,1953,9,3,5,9,0,3,0,1,5,8,97,5,2,1,1,1,2008,2,0,55,3,1,1,2,9,0,NA,0,1,NA,5,2,1,4,4,1,1
"142",142,133,2,1967,13,6,5,1,0,3,0,1,5,20000,97,9,8,9,1,3,2008,2,0,41,2,1,1,4,13,0,1,0,NA,20000,9,8,0,4,2,1,0
"143",143,133,2,1963,13,6,5,1,0,0,0,1,5,15000,97,10,10,1,2,2,2008,2,0,45,2,1,1,4,13,0,1,0,1,15000,10,10,0,3,3,1,1
"144",144,133,2,1969,14,7,5,1,0,0,0,1,5,9,97,6,6,5,1,1,2008,2,0,39,2,1,1,4,14,0,1,0,0,NA,6,6,1,4,4,1,1
"145",145,133,1,1972,13,7,5,1,1,3,0,1,5,8,97,77,6,5,1,2,2008,2,0,36,2,0,1,4,13,0,1,1,0,NA,77,6,1,4,3,1,1
"146",146,133,1,1977,12,5,5,1,0,0,0,1,5,12000,97,10,2,9,1,1,2008,2,0,31,2,0,1,3,12,0,1,0,NA,12000,10,2,1,4,4,1,1
"147",147,133,2,1975,6,2,1,1,0,0,0,1,5,15000,97,1,0,5,1,1,2008,2,0,33,2,1,1,1,6,1,1,0,0,15000,1,0,0,4,4,1,1
"148",148,133,2,1964,6,2,1,1,0,0,0,1,1,97,7000,1,0,5,1,2,2008,2,0,44,2,1,1,1,6,1,1,0,0,7000,1,0,0,4,3,1,1
"149",149,133,2,1956,0,1,1,1,0,0,0,1,1,97,10000,1,0,5,1,1,2008,2,0,52,3,1,1,0,0,1,1,0,0,10000,1,0,0,4,4,1,1
"150",150,133,1,1964,5,2,1,9,0,0,0,1,1,97,30000,1,0,5,1,2,2008,2,0,44,2,0,1,1,5,1,NA,0,0,30000,1,0,0,4,3,1,1
"151",151,133,1,1950,9,3,1,1,1,3,0,5,1,97,3000,1,0,5,1,2,2008,2,0,58,3,0,0,2,9,1,1,1,0,3000,1,0,0,4,3,1,1
"152",152,133,1,1972,9,3,1,1,0,0,0,1,1,97,10000,1,0,5,3,2,2008,2,0,36,2,0,1,2,9,1,1,0,0,10000,1,0,0,2,3,0,1
"153",153,133,1,1946,9,3,1,1,1,1,3,1,1,97,10000,5,2,5,1,1,2008,2,0,62,3,0,1,2,9,1,1,1,0,10000,5,2,1,4,4,1,1
"154",154,133,2,1955,0,1,1,9,0,0,0,1,1,97,8,1,0,5,2,1,2008,2,0,53,3,1,1,0,0,1,NA,0,0,NA,1,0,0,3,4,1,1
